id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
10000602515;DEPUTADO FEDERAL;FLAVIANO FLAVIO BAPTISTA DE MELO;1555;FLAVIANO MELO;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;RIO BRANCO;17/11/1949;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;DEPUTADO;S;ELEITO POR MÉDIA;DEFERIDO;849999.6799999999;1694200.0;1579990.78;4,41%;18723.0
10000608399;DEPUTADO FEDERAL;LEONARDO CUNHA DE BRITO;1331;LEO DE BRITO;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;RIO BRANCO;13/04/1979;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;DEPUTADO;S;ELEITO POR MÉDIA;DEFERIDO;211202.96;1206395.0;1147505.67;3,50%;14881.0
10000608404;DEPUTADO FEDERAL;MARIA PERPETUA DE ALMEIDA ;6513;PERPETUA ALMEIDA ;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;PORTO WALTER;28/12/1964;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO FUNDAMENTAL;N;ELEITO POR QP;DEFERIDO;780800.0;907310.35;904771.38;4,32%;18374.0
10000600207;DEPUTADO FEDERAL;DANIELA PAIVA DE OLIVEIRA;1712;DANIELA PAIVA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;RIO BRANCO;23/12/1982;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;72569.29;5000.0;4992.0;0,15%;640.0
10000600851;DEPUTADO FEDERAL;ROSE-LANE ALVES JARDIM;4423;ROSELANE SPORTS;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;SANTA MARIA DO SUAÇUI;01/07/1965;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;444000.0;35850.0;750.0;0,05%;222.0
10000600852;DEPUTADO FEDERAL;SILVIA MONTEIRO E SILVA;3535;SÍLVIA MONTEIRO;APTO;DEFERIDO;35;PMB;PARTIDO DA MULHER BRASILEIRA;SENA MADUREIRA;25/09/1970;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;359219.22;46391.0;44845.06;1,08%;4580.0
10000600842;DEPUTADO FEDERAL;FRANCISCO DA SILVA PIYÃKO;5050;FRANCISCO PIYÃKO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;CRUZEIRO DO SUL;11/05/1968;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);INDÍGENA;OUTROS;N;NÃO ELEITO;DEFERIDO;630000.0;82836.66;77671.08;0,63%;2681.0
10000608406;DEPUTADO FEDERAL;JEFFERSON BARROSO DE ARAÚJO ;3131;JEFFERSON BARROSO ;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;RIO BRANCO;11/11/1994;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;28010.58;20069.11;0,57%;2406.0
10000602304;DEPUTADO FEDERAL;FRANCISCO DE ASSIS DANTAS CASTRO;1213;CHICO DOIDO DA SAÚDE;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;BRASILEIA;30/01/1978;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;SERVIDOR PÚBLICO MUNICIPAL;N;SUPLENTE;DEFERIDO;63250.0;3882.86;;0,09%;399.0
10000600841;DEPUTADO FEDERAL;FRANCISCO CARLOS OLIVEIRA DE LIMA;4444;CHICARLOS;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;RIO BRANCO;17/04/1968;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;10000.0;35904.72;15013.2;1,12%;4743.0
10000600209;DEPUTADO FEDERAL;ADRIANO JOSÉ CALDAS DE AGUIAR CAMPELLO;1777;ADRIANO CAMPELLO;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;RECEFI;11/07/1970;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;BANCÁRIO E ECONOMIÁRIO;N;NÃO ELEITO;DEFERIDO;;5072.02;3483.2;0,18%;766.0
10000602300;DEPUTADO FEDERAL;JONILSON CABRAL DOS SANTOS ;1217;CABRAL;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;TEFÉ;04/02/1971;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;POLICIAL MILITAR;N;SUPLENTE;DEFERIDO;;7083.66;;0,03%;121.0
10000600839;DEPUTADO FEDERAL;ANTONIO PAULINO DA SILVA;9010;PAULINO SILVA;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;RIO BRANCO;09/02/1970;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;N;NÃO ELEITO;DEFERIDO;;7740.0;7501.8;0,05%;214.0
10000602317;DEPUTADO FEDERAL;EBER SILVA MACHADO;1233;EBER MACHADO;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;CRUZEIRO DO SUL;21/09/1971;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;DEPUTADO;N;SUPLENTE;DEFERIDO;172581.0;76950.0;62148.2;1,98%;8400.0
10000602318;DEPUTADO FEDERAL;JOSE ADRIANO RIBEIRO DA SILVA;1234;JOSÉ ADRIANO;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;RIO BRANCO;18/03/1966;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;4465500.0;113464.0;99457.36;1,61%;6858.0
10000600232;DEPUTADO FEDERAL;SEBASTIÃO BOCALOM RODRIGUES;1717;TIÃO BOCALOM;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;BELA VISTA DO PARAÍSO;18/05/1953;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO MÉDIO;N;NÃO ELEITO;DEFERIDO;128500.0;128737.89;117737.89;5,15%;21872.0
10000600849;DEPUTADO FEDERAL;MARIA JOSÉ DA SILVA LIMA;1944;PR. MARIA JOSÉ;APTO;DEFERIDO;19;PODE;PODEMOS;XAPURI;16/03/1964;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PRETA;OUTROS;N;NÃO ELEITO;DEFERIDO;;;;0,00%;5.0
10000629579;DEPUTADO FEDERAL;SANDRA MARIA SILVA FERREIRA;1250;SANDRA FERREIRA;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;TARAUACA;10/08/1988;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;OUTROS;N;SUPLENTE;DEFERIDO;;6826.64;;0,01%;22.0
10000600850;DEPUTADO FEDERAL;RAILSON CORREIA DA COSTA;1910;RAILSON CORREIA;APTO;DEFERIDO;19;PODE;PODEMOS;CRUZEIRO DO SUL;30/07/1977;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;VEREADOR;N;NÃO ELEITO;DEFERIDO;403069.0;202141.0;143726.0;1,41%;5979.0
10000602511;DEPUTADO FEDERAL;CHARLENE MARIA DE LIMA;1414;CHARLENE LIMA;APTO;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;SENA MADUREIRA;17/04/1971;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;1500000.0;460599.75;345872.95;0,97%;4124.0
10000602290;DEPUTADO FEDERAL;JESUS SERGIO DE MENEZES;1212;JESUS SÉRGIO;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;TARAUACÁ;10/06/1973;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;PROFESSOR DE ENSINO MÉDIO;N;ELEITO POR MÉDIA;DEFERIDO;1100000.0;66561.66;57134.7;2,24%;9537.0
10000602282;DEPUTADO FEDERAL;PAULO SORIANO DA SILVA;1211;PAULO SORIANO;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;RIO BRANCO;27/09/1964;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;SERVIDOR PÚBLICO FEDERAL;N;SUPLENTE;DEFERIDO;260000.0;6666.66;5000.0;0,07%;309.0
10000600840;DEPUTADO FEDERAL;FERNANDO MELO DA COSTA;9090;FERNANDO MELO;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;CRUZEIRO DO SUL;20/08/1958;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;641000.0;332985.0;326982.6;0,76%;3214.0
10000601165;DEPUTADO FEDERAL;IUNA BARROS CHAVES;1800;IUNA CHAVES;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;RIO BRANCO;11/04/1986;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;PSICÓLOGO;N;NÃO ELEITO;DEFERIDO;20000.0;4054.0;2231.05;0,07%;312.0
10000600205;DEPUTADO FEDERAL;BERENICE NASCIMENTO DE SOUZA;1788;BERENICE;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;RIO BRANCO;07/07/1988;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;;1300.82;;0,02%;98.0
10000602508;DEPUTADO FEDERAL;NELSON RODRIGUES SALES;1144;NELSON SALES;APTO;DEFERIDO;11;PP;PROGRESSISTAS;SENA MADUREIRA;03/02/1965;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;;943340.0;943143.4;2,16%;9165.0
10000625360;DEPUTADO FEDERAL;MARIA DO SOCORRO FIRMO DA SILVA;2800;MARIA DO SOCORRO SILVA;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;CRUZEIRO DO SUL;20/11/1972;FEMININO;LÊ E ESCREVE;SOLTEIRO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;;;;0,00%;14.0
10000602519;DEPUTADO FEDERAL;MARIVALDO GONÇALVES DE MELO;5555;MARIVALDO MELO;APTO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;RIO BRANCO;03/05/1964;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;1043000.01;961450.0;947568.15;2,84%;12049.0
10000602517;DEPUTADO FEDERAL;JOSÉ CAVALCANTE DAMASCENO JÚNIOR;1111;JUNIOR PARIS DAKAR;APTO;DEFERIDO;11;PP;PROGRESSISTAS;TARAUACÁ;18/05/1968;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;1298000.0;153369.73;129340.13;1,12%;4762.0
10000600214;DEPUTADO FEDERAL;MANOEL JOSE NOGUEIRA LIMA;1755;N. LIMA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;RIO BRANCO;28/05/1955;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;VEREADOR;N;NÃO ELEITO;DEFERIDO;846446.1699999999;56210.77;30026.4;1,04%;4413.0
10000602311;DEPUTADO FEDERAL;EURICO CARVALHO CORDEIRO ;1200;EURICO CORDEIRO ;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;FEIJÓ;15/02/1963;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;100000.0;3581.66;;0,19%;794.0
10000602513;DEPUTADO FEDERAL;EMILIO VIRGILIO LIMA DE OLIVEIRA;3333;TEN. CORONEL EMILIO;APTO;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;CRUZEIRO DO SUL;28/09/1974;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;POLICIAL MILITAR;N;SUPLENTE;DEFERIDO;1231000.0;162500.0;150000.0;1,30%;5536.0
10000624634;DEPUTADO FEDERAL;CEZAR HILDO PEREIRA;7070;PROFESSOR CEZAR HILDO;APTO;DEFERIDO;70;AVANTE;AVANTE;RIO BRANCO;25/04/1979;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;;5251.13;;0,02%;64.0
10000600845;DEPUTADO FEDERAL;HAMMERLY DA SILVA ALBUQUERQUE;5013;MÊRLA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;FEIJÓ;06/07/1976;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;170000.0;58266.66;55998.2;0,35%;1498.0
10000600847;DEPUTADO FEDERAL;ITAMARA SOUZA DA COSTA;4300;ITAMARA SOUZA;APTO;DEFERIDO;43;PV;PARTIDO VERDE;RIO BRANCO;13/12/1988;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;NÃO ELEITO;DEFERIDO;;51772.05;45019.8;0,04%;179.0
10000602509;DEPUTADO FEDERAL;ALAN RICK MIRANDA;2525;ALAN RICK;APTO;DEFERIDO;25;DEM;DEMOCRATAS;RIO BRANCO;23/10/1976;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;727390.11;932786.4;1279984.35;5,24%;22263.0
10000602518;DEPUTADO FEDERAL;JOSÉ EDIMAR SANTIAGO DE MELO JUNIOR;3611;JUNIOR SANTIAGO;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;RIO BRANCO;17/11/1976;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;ADVOGADO;N;SUPLENTE;DEFERIDO;200000.0;611000.0;569583.58;0,77%;3293.0
10000608403;DEPUTADO FEDERAL;DARLA CRISTINA PENHA ALMEIDA DE OLIVEIRA;1300;DARLA;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;CAPIXABA;19/06/1997;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;SUPLENTE;DEFERIDO;;760000.0;9986.7;0,05%;208.0
10000600230;DEPUTADO FEDERAL;RAIMUNDO RICARDO GOMES DA SILVA;1771;RICARDO GOMES;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;BOCA DO ACRE;19/05/1976;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO ESTADUAL;N;NÃO ELEITO;DEFERIDO;;58.82;;0,03%;124.0
10000600848;DEPUTADO FEDERAL;MANUEL MARCOS CARVALHO DE MESQUITA;1010;PASTOR MANUEL MARCOS;INAPTO;CASSADO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;TIANGUA;07/05/1972;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;VEREADOR;N;NÃO ELEITO;DEFERIDO;;850000.0;850000.0;1,76%;7489.0
10000601383;DEPUTADO FEDERAL;GILMAR FONTES;4466;GILMAR FONTES;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;MARECHAL CANDIDO RONDOM;04/11/1972;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;;5891.5199999999995;;0,04%;152.0
10000602305;DEPUTADO FEDERAL;JOSÉ ELISSANDRO LOPES REGO;1244;SANDRO REGO;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;RIO BRANCO;13/03/1982;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;OUTROS;N;SUPLENTE;DEFERIDO;;4773.66;;0,16%;689.0
10000608407;DEPUTADO FEDERAL;ANDRESA DA SILVA CASTRO BARROS;2722;ANDRESA BARROS;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;RIO BRANCO;03/04/1979;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;;20800.0;16912.0;0,08%;355.0
10000624631;DEPUTADO FEDERAL;JOÃO DOS SANTOS MATIAS MORAIS;7010;MATIAS MORAIS;APTO;DEFERIDO;70;AVANTE;AVANTE;RIO BRANCO;27/02/1974;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;3500.0;600.0;;0,00%;10.0
10000600246;DEPUTADO FEDERAL;JAMYL ASFURY MARTINS OLIVEIRA;2020;JAMYL ASFURY;APTO;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;PARNAIBA;07/07/1973;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;ENGENHEIRO;N;NÃO ELEITO;DEFERIDO;715528.38;108015.8;69976.23;1,21%;5149.0
10000608400;DEPUTADO FEDERAL;RAIMUNDO ANGELIM VASCONCELOS;1314;ANGELIM;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;RIO BRANCO;19/02/1955;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DEPUTADO;S;SUPLENTE;DEFERIDO;865000.0;946636.0;893181.17;3,32%;14123.0
10000602295;DEPUTADO FEDERAL;DINEIA ANDRADE PINHEIRO;1220;DINEIA PINHEIRO;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PLÁCIDO DE CASTRO;21/04/1988;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;SUPLENTE;DEFERIDO;70000.0;9216.03;;0,03%;130.0
10000602512;DEPUTADO FEDERAL;CYLMARA FERNANDES DA ROCHA GRIPP;4545;MARA ROCHA;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;RIO BRANCO;04/09/1973;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;ELEITO POR QP;DEFERIDO;125000.0;1632865.55;1669311.96;9,42%;40047.0
10000602521;DEPUTADO FEDERAL;ROSANA SOUSA DO NASCIMENTO;2323;ROSANA NASCIMENTO;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;RIO BRANCO;24/04/1969;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;PROFESSOR DE ENSINO SUPERIOR;N;SUPLENTE;DEFERIDO;;505748.04;497675.42;1,40%;5948.0
10000608401;DEPUTADO FEDERAL;RAQUEL GLEYCIANE SANTOS DE SOUZA;1377;RAQUEL SOUZA;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;RIO BRANCO;11/10/1980;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;AGENTE DE SAÚDE E SANITARISTA;N;SUPLENTE;DEFERIDO;;68000.0;69012.54000000001;0,08%;353.0
10000608408;DEPUTADO FEDERAL;FELIPE RIBEIRO DA SILVA LIMA;2713;FELIPE MESSIAS ;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;CRUZEIRO DO SUL;05/08/1991;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;SUPLENTE;DEFERIDO;;14500.0;13500.0;0,02%;71.0
10000602516;DEPUTADO FEDERAL;JESSICA ROJAS SALES;1515;JÉSSICA SALES;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;CRUZEIRO DO SUL;28/11/1980;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;DEPUTADO;S;ELEITO POR QP;DEFERIDO COM RECURSO;163131.58000000002;2409200.0;2251321.95;6,76%;28717.0
10000602289;DEPUTADO FEDERAL;PEDRO RAIMUNDO DE OLIVEIRA;1222;PEDRO DO DAYANE;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;BODOCÓ;07/03/1957;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;32860739.67;478750.0;375750.0;1,19%;5058.0
10000602299;DEPUTADO FEDERAL;CLEIDE MARIA FERREIRA DE ARAUJO;1277;CLEIDE ARAÚJO;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;XAPURI;07/04/1971;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;SECRETÁRIO E DATILÓGRAFO;N;SUPLENTE;DEFERIDO;6800.0;17750.89;11606.5;0,26%;1087.0
10000624638;DEPUTADO FEDERAL;ELDO PONTES HALL;7001;ELDO PONTES;APTO;DEFERIDO;70;AVANTE;AVANTE;RIO BRANCO;29/03/1964;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;15000.0;5264.33;13.2;0,01%;36.0
10000600853;DEPUTADO FEDERAL;FRANCISCO BRIGIDO DA COSTA;5454;CHICÃO BRÍGIDO;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;IPIXUNA;09/03/1958;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;NÃO ELEITO;DEFERIDO;938000.0;10937.5;9500.0;0,30%;1292.0
10000600843;DEPUTADO FEDERAL;GILDOMAR OLIVEIRA GOMES;5055;CHARQUEIRO DO ACRE;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;RIO BRANCO;16/09/1972;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;50000.0;50279.86;47726.75;0,12%;492.0
10000600846;DEPUTADO FEDERAL;HENRIQUE AFONSO SOARES LIMA;4343;HENRIQUE AFONSO;APTO;DEFERIDO;43;PV;PARTIDO VERDE;CRUZEIRO DO SUL;03/12/1964;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;706000.0;298590.95;280955.54;1,24%;5272.0
10000600222;DEPUTADO FEDERAL;MICHELA BATISTA LACERDA;1700;MICHELA LACERDA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;RIO BRANCO;25/01/1979;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;;558.18;;0,17%;734.0
10000602514;DEPUTADO FEDERAL;EUDEMIR GOMES BEZERRA;1593;CORONEL EUDEMIR;INAPTO;INDEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;PLÁCIDO DE CASTRO;28/01/1970;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;SERVIDOR PÚBLICO ESTADUAL;N;NÃO ELEITO;INDEFERIDO COM RECURSO;150000.0;8000.0;;0,00%;0.0
10000602522;DEPUTADO FEDERAL;RUDILEI SOARES DE SOUZA;1122;RUDILEI ESTRELA;APTO;DEFERIDO;11;PP;PROGRESSISTAS;CRUZEIRO DO SUL;30/10/1978;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;20000.0;526400.0;470000.0;3,04%;12905.0
10000608398;DEPUTADO FEDERAL;SEBASTIÃO SIBA MACHADO OLIVEIRA;1313;SIBÁ MACHADO;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;UNIÃO;24/01/1958;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;DEPUTADO;S;SUPLENTE;DEFERIDO;574336.27;1152000.0;933000.0;2,24%;9533.0
