id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
20000626330;DEPUTADO FEDERAL;MARCOS ANTONIO FERNANDES DA SILVA ALMEIDA;3100;MARCOS ALMEIDA;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;MACEIO;02/12/1986;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);BRANCA;AGENTE ADMINISTRATIVO;N;NÃO ELEITO;INDEFERIDO COM RECURSO;;8308.82;;0,00%;0.0
20000616929;DEPUTADO FEDERAL;ADEMARIO DE OLIVEIRA;5153;ADEMARIO JACÓ;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;JAPARATINGA;15/06/1976;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES;N;NÃO ELEITO;DEFERIDO;;6750.0;6236.25;0,02%;299.0
20000616805;DEPUTADO FEDERAL;HEMERSON CASADO GAMA;1110;DR. HEMERSON CASADO;APTO;DEFERIDO;11;PP;PROGRESSISTAS;MACEIO;10/03/1967;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;148150.12;130527.0;0,64%;9311.0
20000626333;DEPUTADO FEDERAL;FLAVIO HENRIQUE CATAO NOGUEIRA;3131;FLAVIO CATÃO;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;MACEIO;26/04/1980;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;SERVIDOR PÚBLICO ESTADUAL;N;NÃO ELEITO;DEFERIDO;410000.0;34247.86;17243.05;0,04%;522.0
20000621943;DEPUTADO FEDERAL;AUDIVAL AMÉLIO DA SILVA NETO;2828;VAL AMÉLIO;INAPTO;RENÚNCIA;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;MACEIÓ;11/12/1993;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;N;;;;;;0,18%;2661.0
20000616797;DEPUTADO FEDERAL;ARTHUR CESAR PEREIRA DE LIRA;1111;ARTHUR LIRA;APTO;DEFERIDO;11;PP;PROGRESSISTAS;MACEIO;25/06/1969;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;1718924.2;1741793.16;1765947.26;9,86%;143858.0
20000605542;DEPUTADO FEDERAL;MARIA DAS GRAÇAS SOARES DE ARAUJO;6544;NINA CACIQUE;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;PARICONHA;31/01/1961;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);INDÍGENA;AGENTE DE SAÚDE E SANITARISTA;N;NÃO ELEITO;DEFERIDO;650000.0;37064.149999999994;33288.95;0,10%;1452.0
20000616898;DEPUTADO FEDERAL;JAMMES STENIO SOBREIRA;1707;JAMMES SOBREIRA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;COLONIA LEOPOLDINA;28/10/1982;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;AGENTE DE SAÚDE E SANITARISTA;N;NÃO ELEITO;DEFERIDO;;1465.5700000000002;500.0;0,06%;924.0
20000616914;DEPUTADO FEDERAL;LUCIANO VALDOMIRO SILVA FONTES;1700;BOMBEIRO LUCIANO FONTES;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;ARAPIRACA;23/07/1978;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);PARDA;BOMBEIRO MILITAR;N;NÃO ELEITO;DEFERIDO;;1805.17;500.0;0,68%;9949.0
20000600623;DEPUTADO FEDERAL;MARIA TAVARES FERRO;3030;MARIA TAVARES;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;MACEIÓ;29/12/1980;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;NÃO ELEITO;DEFERIDO;88343.83;48714.45;46822.66;0,68%;9929.0
20000616922;DEPUTADO FEDERAL;QUITERIA SOUZA DOS SANTOS;1778;QUITERIA SOUZA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;SANTANA DO IPANEMA;23/08/1986;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;;1465.5700000000002;;0,03%;445.0
20000616810;DEPUTADO FEDERAL;TEREZA NELMA DA SILVA PORTO VIANA SOARES;4544;TEREZA NELMA;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;ARAPIRACA;07/10/1957;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;VEREADOR;N;ELEITO POR MÉDIA;DEFERIDO;473453.35000000003;824703.0;801056.8;3,03%;44207.0
20000619788;DEPUTADO FEDERAL;LUCIANE CRISTINE DOS SANTOS ARAUJO;5050;LU ARAUJO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;MACEIO;08/08/1988;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;NÃO ELEITO;DEFERIDO;;16247.96;14643.34;0,42%;6179.0
