id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
30000625417;DEPUTADO FEDERAL;NEIDE CORREA BELEM;3635;NEIDE KNB;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;MACAPÁ;08/05/1975;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;OUTROS;N;SUPLENTE;DEFERIDO;1000000.0;1400.0;;0,14%;508.0
30000617199;DEPUTADO FEDERAL;ANDRE DOS SANTOS ABDON;1111;ANDRE ABDON;APTO;DEFERIDO;11;PP;PROGRESSISTAS;BELEM;10/11/1970;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;ENGENHEIRO;S;ELEITO POR MÉDIA;DEFERIDO;264762.08999999997;1677925.45;1634541.0;3,52%;12856.0
30000602685;DEPUTADO FEDERAL;JOEZER REZENDE DAS CHAGAS;1717;JOÉZER CHAGAS;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;BELÉM;13/09/1975;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;885000.0;37026.399999999994;36839.6;1,34%;4875.0
30000602688;DEPUTADO FEDERAL;MARCELO PADILHA AGUIAR;2288;MARCELO PADILHA;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;MACAPÁ;01/10/1979;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;CONTADOR;N;SUPLENTE;DEFERIDO;102000.0;26500.0;2000.0;0,33%;1215.0
30000620093;DEPUTADO FEDERAL;ANTONIA DO SOCORRO NOGUEIRA DE SOUZA;1300;SOCORRO NOGUEIRA;INAPTO;INDEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;MACAPÁ;27/06/1964;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;SERVIDOR PÚBLICO FEDERAL;N;NÃO ELEITO;DEFERIDO;469000.0;365000.0;364000.0;0,00%;0.0
30000617201;DEPUTADO FEDERAL;PAULO MOISES DA SILVA RUY SECCO;2025;PASTOR MOISES;APTO;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;CHAVES;16/07/1972;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PARDA;OUTROS;N;SUPLENTE;DEFERIDO;150000.0;20000.0;;0,43%;1572.0
30000602683;DEPUTADO FEDERAL;ERALDO DA SILVA TRINDADE;2255;ERALDO TRINDADE;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;MACAPÁ;20/11/1956;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;ADVOGADO;N;SUPLENTE;DEFERIDO;1060000.0;501500.0;502000.0;0,73%;2679.0
30000620090;DEPUTADO FEDERAL;JOSE ROBERVAL RANGEL DE ANDRADE;4010;DEL ROBERVAL;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;SERRA DO NAVIO;27/03/1963;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;POLICIAL CIVIL;N;SUPLENTE;DEFERIDO;;1000.0;;0,09%;319.0
30000625422;DEPUTADO FEDERAL;MARIA D ARC SÁ DA SILVA MARQUES;2727;DARC MARQUES;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;MACAPÁ;02/10/1973;FEMININO;SUPERIOR COMPLETO;CASADO(A);PRETA;SERVIDOR PÚBLICO ESTADUAL;N;SUPLENTE;DEFERIDO;300000.0;45022.82;4000.0;0,74%;2699.0
30000620086;DEPUTADO FEDERAL;WALKER MIRANDA ALFAIA;4070;WALKER ALFAIA;INAPTO;RENÚNCIA;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;ALMERIM;06/09/1982;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;;;;1000.0;;;
30000619277;DEPUTADO FEDERAL;LEIDINALDO LUIZ GAMA DE PAULA;7755;LEIDINALDO GAMA;APTO;DEFERIDO;77;SOLIDARIEDADE;SOLIDARIEDADE;MACAPA;10/08/1978;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PRETA;PESCADOR;N;SUPLENTE;DEFERIDO;150000.0;1000.0;;0,44%;1588.0
30000620094;DEPUTADO FEDERAL;DORALICE NASCIMENTO DE SOUZA;1312;DORA NASCIMENTO;INAPTO;INDEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;MACAPÁ;21/10/1967;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;NÃO ELEITO;DEFERIDO;420000.0;374000.0;364000.0;0,00%;0.0
30000620089;DEPUTADO FEDERAL;AILTON SILVA DOS SANTOS;4090;CORONEL AILTON;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;MACAPA;04/12/1970;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;POLICIAL MILITAR;N;SUPLENTE;DEFERIDO;1874000.0;9300.0;4300.0;0,55%;1990.0
30000602693;DEPUTADO FEDERAL;ESTEFANY CAROLINE MONTEIRO DUARTE;2232;ESTEFANY MONTEIRO;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;MACAPA;09/12/1995;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;SUPLENTE;DEFERIDO;;22000.0;21728.74;0,12%;420.0
30000625419;DEPUTADO FEDERAL;MARIO TEIXEIRA DE MENDONÇA NETO;3699;MARIO MENDONÇA;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;SANTANA;05/12/1964;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;PROFESSOR DE ENSINO SUPERIOR;N;SUPLENTE;DEFERIDO;179400.0;16125.0;13583.2;0,50%;1832.0
30000619279;DEPUTADO FEDERAL;JOZIANE ARAÚJO NASCIMENTO;1919;JOZI ARAUJO;APTO;DEFERIDO;19;PODE;PODEMOS;ITAITUBA;26/03/1979;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;DEPUTADO;S;SUPLENTE;DEFERIDO;281700.67;1350000.0;146803.35;0,97%;3532.0
30000622786;DEPUTADO FEDERAL;ACENILDO FURTADO DA COSTA;4344;ACENILDO COSTA;APTO;DEFERIDO;43;PV;PARTIDO VERDE;MACAPÁ;06/03/1982;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA;N;NÃO ELEITO;DEFERIDO;48500.0;12955.32;;0,04%;163.0
30000625420;DEPUTADO FEDERAL;PAULO SERGIO GAHMA DOS SANTOS;3636;PROF. SERGINHO GAHMÃ;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;MACAPÁ;26/02/1966;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;GEÓGRAFO;N;SUPLENTE;DEFERIDO;;;;0,16%;570.0
30000602680;DEPUTADO FEDERAL;ALLAN ROSAS SALES;2323;ALLAN SALES;INAPTO;INDEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;RIO DE JANEIRO;05/12/1960;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO COM RECURSO;963084.1699999999;90589.0;69000.0;0,00%;0.0
30000619276;DEPUTADO FEDERAL;ALANDY PATRICIA DO SOCORRO SOUSA CAVALCANTE;7722;ALANDY;APTO;DEFERIDO;77;SOLIDARIEDADE;SOLIDARIEDADE;MACAPA;23/12/1969;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;PROFESSOR DE ENSINO MÉDIO;N;SUPLENTE;DEFERIDO;;2608.45;;0,25%;903.0
30000622833;DEPUTADO FEDERAL;GILDOVAL FARIAS BARBOSA;3390;GIL BARBOSA;APTO;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;CALÇOENE;06/02/1968;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;PROFESSOR DE ENSINO MÉDIO;N;NÃO ELEITO;DEFERIDO;;3400.0;;0,06%;226.0
