id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
70000625528;DEPUTADO FEDERAL;FLAVIA CAROLINA PERES;2200;FLAVIA ARRUDA;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;BRASILIA;21/01/1980;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;EMPRESÁRIO;N;ELEITO POR QP;DEFERIDO;774926.0;2404000.0;2258998.69;8,43%;121340.0
70000614423;DEPUTADO FEDERAL;LEOCLIDES MILTON ARRUDA;1818;LEOCLIDES ARRUDA;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;ROQUE GONZALES;17/07/1954;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;253694.75;114000.0;84150.0;0,13%;1833.0
70000624326;DEPUTADO FEDERAL;FLAUZINO ANTUNES NETO;5499;FLAUZINO ANTUNES;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;ITAPEVA;06/07/1977;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO FEDERAL;N;NÃO ELEITO;DEFERIDO;;25668.25;24100.0;0,06%;823.0
70000625537;DEPUTADO FEDERAL;MARCELO ALVES ENEAS DANTAS;4550;MARCELO TIGRE;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;NATAL;05/02/1973;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;N;SUPLENTE;DEFERIDO;840000.0;52950.0;50000.0;0,09%;1320.0
70000602344;DEPUTADO FEDERAL;ANNEBELLE FERREIRA BORGES;3000;BELLE BORGES;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;CURITIBA;21/08/1982;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO FEDERAL;N;NÃO ELEITO;DEFERIDO;1456116.6099999999;30463.26;29342.3;1,08%;15501.0
70000622471;DEPUTADO FEDERAL;HAMILTON TEIXEIRA DOS SANTOS;3535;TATU;APTO;DEFERIDO;35;PMB;PARTIDO DA MULHER BRASILEIRA;BRASILIA;13/11/1977;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;;29818.0;29788.0;0,61%;8851.0
70000602713;DEPUTADO FEDERAL;EVELIN MACIEL BRISOLLA;5088;EVELIN MACIEL;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;PENÁPOLIS;07/03/1969;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO FEDERAL;N;NÃO ELEITO;DEFERIDO;991379.83;42790.99;30719.17;0,10%;1492.0
70000614988;DEPUTADO FEDERAL;ADRIANO CANDIDO DE OLIVEIRA;4493;SGT ADRIANO OLIVEIRA;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;TAGUATINGA;16/04/1971;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;BOMBEIRO MILITAR;N;SUPLENTE;DEFERIDO;;4058.79;1046.15;0,38%;5515.0
70000614425;DEPUTADO FEDERAL;MARCOS DE ALENCAR DANTAS;4040;MARCOS DANTAS;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;RIO DE JANEIRO;12/05/1957;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;661292.96;525714.1;512013.11;1,29%;18504.0
70000627343;DEPUTADO FEDERAL;FRANCISCO JOAO PINTO DA SILVA;2799;JOÃO TERRA;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;VALENÇA;28/06/1965;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PRETA;AGENTE ADMINISTRATIVO;N;NÃO ELEITO;DEFERIDO;;2797.5;;0,02%;258.0
70000602346;DEPUTADO FEDERAL;DIEGO BARROS MAIA;3034;DIEGO MAIA;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;RIO DE JANEIRO;16/12/1982;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;SERVIDOR PÚBLICO FEDERAL;N;NÃO ELEITO;DEFERIDO;579545.76;28233.16;27134.0;0,24%;3437.0
70000614430;DEPUTADO FEDERAL;THAYNARA MELO RODRIGUES;1808;THAYNARA;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;SALVADOR;08/08/1992;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;BIBLIOTECÁRIO;N;SUPLENTE;DEFERIDO;;28162.6;19376.73;0,38%;5449.0
70000622466;DEPUTADO FEDERAL;ISANIL FRANCISCO GUALBERTO;3370;ISANIL;INAPTO;NÃO CONHECIMENTO DO PEDIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;BRASILIA;02/04/1970;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;BOMBEIRO MILITAR;N;;;;;;;
70000614989;DEPUTADO FEDERAL;ELISÂNGELA MACHADO DOS SANTOS DE FREITAS;4477;ELISA ROBSON;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PORTO ALEGRE;21/03/1976;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;N;SUPLENTE;DEFERIDO;;26510.0;25150.0;0,81%;11638.0
70000627346;DEPUTADO FEDERAL;JOSIVALDO FEITOSA DA SILVA;2710;JOSIVALDO FEITOSA;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;MONTEIRO;03/04/1965;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;;2750.0;;0,01%;214.0
70000614976;DEPUTADO FEDERAL;JANETE ALMEIDA DO NASCIMENTO;4420;JANETE ALMEIDA;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PORTO ALEGRE;28/01/1960;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;90.98;8196.03;4688.2;0,05%;726.0
70000622459;DEPUTADO FEDERAL;HELIO JOSE DA SILVA LIMA;9090;HÉLIO JOSÉ;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;CORUMBA DE GOIAS;09/03/1960;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;ENGENHEIRO;N;NÃO ELEITO;DEFERIDO;1214461.89;2034299.83;820940.0;1,15%;16529.0
70000624627;DEPUTADO FEDERAL;FLAVIO CORREIA DE SOUSA;1421;FLAVIO CORREIA;INAPTO;INDEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;RIO DE JANEIRO;15/08/1952;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ENGENHEIRO;N;NÃO ELEITO;INDEFERIDO COM RECURSO;1500000.0;23093.0;23091.64;0,00%;0.0
70000602348;DEPUTADO FEDERAL;RODRIGO FREIRE DE ARAGÃO;3030;RODRIGO FREIRE;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;BRASILIA;25/10/1980;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;NÃO ELEITO;DEFERIDO;2042756.81;170594.07;169494.91;1,54%;22216.0
70000625533;DEPUTADO FEDERAL;LUIS CLAUDIO FERNANDES MIRANDA;2555;LUIS MIRANDA;APTO;DEFERIDO;25;DEM;DEMOCRATAS;BRASÍLIA;27/03/1980;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;ELEITO POR MÉDIA;DEFERIDO;7290000.0;530718.0;519000.0;4,52%;65107.0
70000622457;DEPUTADO FEDERAL;CHARLES DE MAGALHAES ARAUJO JUNIOR;9017;CORONEL CHARLES MAGALHAES;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;RIO DE JANEIRO;20/10/1966;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;POLICIAL MILITAR;N;NÃO ELEITO;DEFERIDO;691680.0;343400.0;303404.8;0,77%;11114.0
70000614421;DEPUTADO FEDERAL;ISRAEL MATOS BATISTA;4343;PROFESSOR ISRAEL;APTO;DEFERIDO;43;PV;PARTIDO VERDE;BRASILIA;02/05/1982;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;PROFESSOR DE ENSINO MÉDIO;N;ELEITO POR QP;DEFERIDO;171623.0;697295.3;626788.81;4,69%;67598.0
70000627344;DEPUTADO FEDERAL;MAICON CARVALHO COSTA;2756;MAICON CARVALHO;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;BRASILIA;19/05/1986;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;MOTORISTA PARTICULAR;N;NÃO ELEITO;DEFERIDO;;2950.0;175.35;0,01%;173.0
