id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
80000625730;DEPUTADO FEDERAL;MONICA ALVES FARIA;5051;MONICA ALVES;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;NITEROI;22/07/1960;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;PROFESSOR DE ENSINO FUNDAMENTAL;N;NÃO ELEITO;DEFERIDO;201000.0;5498.6;3114.92;0,05%;1001.0
80000620323;DEPUTADO FEDERAL;MARIA APARECIDA DE MELLO;1040;MARIA APARECIDA DE MELLO;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;IÚNA;12/10/1946;FEMININO;ENSINO MÉDIO COMPLETO;VIÚVO(A);BRANCA;DONA DE CASA;N;SUPLENTE;DEFERIDO;300000.0;152127.32;134939.2;0,05%;1026.0
80000620180;DEPUTADO FEDERAL;ALEXANDRE MAGNO COLA;7007;ALEXANDRE COLA;APTO;DEFERIDO;70;AVANTE;AVANTE;CACHOEIRO DE ITAPEMIRIM;01/02/1966;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;TABELIÃO;N;SUPLENTE;DEFERIDO;628389.31;63355.82;42730.0;0,11%;2095.0
80000627980;DEPUTADO FEDERAL;JACQUELINE ALVES NONATO;3535;JACQUELINE NONATO;APTO;DEFERIDO;35;PMB;PARTIDO DA MULHER BRASILEIRA;BRASILIA;23/12/1963;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;COMERCIANTE;N;NÃO ELEITO;DEFERIDO;575000.0;15000.0;14968.19;0,04%;677.0
80000620190;DEPUTADO FEDERAL;DILEUZA MARINS DEL CARO;4023;DILEUZA;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;COLATINA;28/11/1965;FEMININO;SUPERIOR COMPLETO;VIÚVO(A);PARDA;VEREADOR;N;SUPLENTE;DEFERIDO;500000.0;58207.060000000005;50000.0;0,11%;2035.0
80000612969;DEPUTADO FEDERAL;SONIA MARIA BUENO DA VITORIA;1999;SONIA BUENO;APTO;DEFERIDO;19;PODE;PODEMOS;RESPLENDOR;25/06/1961;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;COMERCIANTE;N;NÃO ELEITO;DEFERIDO;9000.0;2647.5;750.0;0,02%;459.0
80000626620;DEPUTADO FEDERAL;ROSANGELA DE OLIVEIRA;2707;NEGA DANDA;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;VITORIA;16/04/1977;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;OUTROS;N;NÃO ELEITO;DEFERIDO;;4947.31;;0,01%;231.0
80000625725;DEPUTADO FEDERAL;BRUNA MESQUITA GATI;5050;BRUNA GATI;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;COLATINA;06/03/1986;FEMININO;SUPERIOR COMPLETO;CASADO(A);PRETA;JORNALISTA E REDATOR;N;NÃO ELEITO;DEFERIDO;113000.0;8609.52;7909.52;0,28%;5347.0
80000611878;DEPUTADO FEDERAL;VERINA DA PENHA RODRIGUES;1122;VERINA RODRIGUES;APTO;DEFERIDO;11;PP;PROGRESSISTAS;CARIACICA;14/09/1974;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;SUPLENTE;DEFERIDO;65000.0;64158.99;35000.0;0,04%;687.0
80000626617;DEPUTADO FEDERAL;VINICIUS ANDRE TEIXEIRA CARAN;2727;VINICIUS CARAN;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;SERRA;08/07/1982;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;COMERCIANTE;N;NÃO ELEITO;DEFERIDO;;4341.33;;0,03%;555.0
