id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
90000622696;DEPUTADO FEDERAL;SOLON SILVIO GARCEZ DE MENDONÇA;5152;SOLON DOS CORREIOS;INAPTO;RENÚNCIA;51;PATRIOTA;PATRIOTA;BRASILIA;30/08/1973;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;OUTROS;N;;;10000.0;;;;
90000620365;DEPUTADO FEDERAL;FRANCISCO RODRIGUES VALE JUNIOR;5555;FRANCISCO JR;APTO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;GOIANIA;15/03/1969;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DEPUTADO;N;ELEITO POR QP;DEFERIDO;2368744.1;1258573.98;1250114.65;3,69%;111788.0
90000616505;DEPUTADO FEDERAL;LUCIANE CHAVES DE OLIVEIRA CASTRO;2707;LU DE OLIVEIRA;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;RIALMA;28/04/1968;FEMININO;SUPERIOR INCOMPLETO;DIVORCIADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;5000.0;2000.0;;0,01%;319.0
90000615994;DEPUTADO FEDERAL;FERNANDA CRISTINA DE ABREU MENDES;4425;FERNANDA SHALLOM;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;GOIANIA;14/03/1981;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;FARMACÊUTICO;N;SUPLENTE;DEFERIDO;;18830.33;18000.0;0,03%;996.0
90000613647;DEPUTADO FEDERAL;MARCELO AUGUSTO SAMPAIO MARTINS;3144;MARCELO AUGUSTO;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;ARAGUAINA;14/10/1968;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;1735000.0;150936.1;150336.1;0,09%;2751.0
90000619112;DEPUTADO FEDERAL;RUBENS OTONI GOMIDE;1313;RUBENS OTONI;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;GOIANÉSIA;06/02/1956;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;S;ELEITO POR MÉDIA;DEFERIDO;906862.3200000001;920713.82;900794.33;2,74%;83063.0
90000605004;DEPUTADO FEDERAL;JOSE MARIA MARTINS DOS SANTOS;3636;ZE MARIA;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;TIANGUA;12/07/1975;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;VEREADOR;N;NÃO ELEITO;DEFERIDO;;62552.19;60790.0;0,17%;5191.0
90000615998;DEPUTADO FEDERAL;GLAUSKSTON BATISTA RIOS;2018;GLAUSTIN DA FOKUS;APTO;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;GOIÂNIA;22/12/1973;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;ELEITO POR QP;DEFERIDO;2216871.0;2013728.33;1984676.68;3,31%;100437.0
90000616502;DEPUTADO FEDERAL;JOAO PAULO SANT ANA;2727;JOAO SANTANA;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;GOIANIA;31/10/1984;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;POLICIAL MILITAR;N;SUPLENTE;DEFERIDO;904000.0;2000.02;2000.0;0,01%;282.0
90000616496;DEPUTADO FEDERAL;DARIO ROSALINO BRANDAO;2772;DÁRIO BRANDÃO;INAPTO;INDEFERIDO;27;DC;DEMOCRACIA CRISTÃ;PIRINOPOLIS;06/07/1961;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;SERVIDOR PÚBLICO MUNICIPAL;N;;;1310050.0;1480.0;;;
90000622678;DEPUTADO FEDERAL;FLÁVIA REZENDE CALIL ALVES SILVA;7015;FLÁVIA CALIL;APTO;DEFERIDO;70;AVANTE;AVANTE;GOIANIA;31/08/1976;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;;450.0;;0,01%;198.0
90000602049;DEPUTADO FEDERAL;ADMILSON MARINHO DE LIMA;5005;PROFESSOR MASCOTE;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;UBERLANDIA;06/08/1972;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;PROFESSOR DE ENSINO MÉDIO;N;NÃO ELEITO;DEFERIDO;188000.0;7230.17;2475.0;0,07%;2169.0
90000615995;DEPUTADO FEDERAL;FLAVIA CARREIRO ALBUQUERQUE MORAIS;1212;FLAVIA MORAIS;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;BELO HORIZONTE;26/04/1969;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;765716.24;1647841.19;1630892.07;5,60%;169774.0
90000610074;DEPUTADO FEDERAL;JOÃO SANDES JUNIOR;1122;SANDES JUNIOR;APTO;DEFERIDO;11;PP;PROGRESSISTAS;PORTO NACIONAL;28/04/1959;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DEPUTADO;S;SUPLENTE;DEFERIDO;1546267.27;2240692.0;2240622.96;0,99%;29993.0
90000619129;DEPUTADO FEDERAL;JOSE DO CARMO ALVES SIQUEIRA;1314;PROFESSOR ZÉ DO CARMO;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;GOIÁS;03/03/1968;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;N;SUPLENTE;DEFERIDO;1241138.01;114396.67;106600.0;0,42%;12668.0
90000620368;DEPUTADO FEDERAL;ANTONIO FERNANDO LANDÓ CONTART;4044;FERNANDO CONTART;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;GOIÂNIA;10/03/1952;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;SERVIDOR PÚBLICO MUNICIPAL;N;SUPLENTE;DEFERIDO;144722.21;7574.0;2574.0;0,01%;325.0
90000622679;DEPUTADO FEDERAL;MAGNO MARCIEL RAMOS BARBOSA;7077;MAGNO RAMOS;APTO;DEFERIDO;70;AVANTE;AVANTE;IMPERATRIZ;08/10/1984;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;20000.0;350.0;;0,08%;2299.0
90000616493;DEPUTADO FEDERAL;ZAMOR DE MAGALHÃES ALMEIDA;1717;MAJOR ZAMOR;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;FORMOSA;21/09/1929;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;1779029.0;7000.0;6000.0;0,08%;2436.0
90000610085;DEPUTADO FEDERAL;BENEDITO BALBINO DA COSTA;1570;BENE COSTA;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;GOIÂNIA;08/08/1957;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;DIRETOR DE EMPRESAS;N;SUPLENTE;DEFERIDO;;7400.0;;0,06%;1873.0
90000604989;DEPUTADO FEDERAL;WALTER PAULO DE OLIVEIRA SANTIAGO;2828;PROF. WALTER PAULO;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;GOIANIA;02/10/1941;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;SERVIDOR PÚBLICO MUNICIPAL;N;NÃO ELEITO;DEFERIDO;810000.0;461307.19;447000.0;1,00%;30401.0
90000630056;DEPUTADO FEDERAL;DOUGLAS ALMEIDA BUCALEM;5177;DOUGLAS BUCALEM;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;GOIÂNIA;05/01/1988;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;EMPRESÁRIO;N;NÃO ELEITO;PENDENTE DE JULGAMENTO;;27820.0;20820.0;0,04%;1190.0
90000620358;DEPUTADO FEDERAL;LUCAS DE CASTRO SANTOS;7777;LUCAS VERGÍLIO;APTO;DEFERIDO;77;SOLIDARIEDADE;SOLIDARIEDADE;GOIÂNIA;08/04/1987;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;S;ELEITO POR QP;DEFERIDO;1200365.67;1780790.73;1836489.74;2,59%;78431.0
90000602061;DEPUTADO FEDERAL;LANA PAULA LUNA DE SOUSA;5055;LANA LUNA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;BELEM;06/01/1976;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;NÃO ELEITO;DEFERIDO;;2599.13;;0,09%;2842.0
