id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
100000615045;DEPUTADO FEDERAL;LUCENILTON DE JESUS BARROS MARTINS;3360;POPITO MARTINS;APTO;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;SÃO LUÍS;19/08/1979;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;ADVOGADO;N;SUPLENTE;DEFERIDO;50000.0;;;0,04%;1431.0
100000615047;DEPUTADO FEDERAL;IVAN PACHECO DE SOUSA;3312;IVAN DA GRAÇA;APTO;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;BARRA DO CORDA;10/11/1949;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;SUPLENTE;DEFERIDO;200000.0;;;0,01%;273.0
100000609102;DEPUTADO FEDERAL;ROSA CARVALHO MESQUITA;1588;ROSA DO BOI;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;SÃO LUIS;01/06/1962;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);N;SUPLENTE;DEFERIDO;50000.0;52513.2;49966.4;0,02%;515.0
100000616292;DEPUTADO FEDERAL;NEY JEFFERSON PEREIRA TEIXEIRA;1315;NEY JEFFERSON LULA;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;SÃO PAULO;12/02/1982;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;435000.0;19788.55;17413.55;0,11%;3466.0
100000601893;DEPUTADO FEDERAL;PEDRO LUCAS ANDRADE FERNANDES RIBEIRO;1414;PEDRO LUCAS FERNANDES;APTO;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;SÃO LUIS;01/11/1979;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;VEREADOR;N;ELEITO POR QP;DEFERIDO;198000.0;1260703.4;1206002.05;3,41%;111538.0
100000613987;DEPUTADO FEDERAL;ZAQUEU SOARES BARROS;1785;ZAQUEU BARROS;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;MIRINZAL;30/07/1963;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;COMERCIÁRIO;N;NÃO ELEITO;DEFERIDO;;9177.0;8693.96;0,11%;3601.0
100000628181;DEPUTADO FEDERAL;WERBETH SILVA DOS SANTOS;4422;WERBETH SILVA;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;SANTA INÊS;07/11/1985;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;PROFESSOR DE ENSINO FUNDAMENTAL;N;SUPLENTE;DEFERIDO;;;;0,02%;500.0
100000629193;DEPUTADO FEDERAL;RAIMUNDA BELFORT DIAS;1244;RAIMUNDA BELFORT;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;SÃO LUIS;10/06/1973;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;SUPLENTE;DEFERIDO;;11485.0;11485.0;0,05%;1478.0
100000601461;DEPUTADO FEDERAL;ILDON MARQUES DE SOUSA;1165;ILDON MARQUES;APTO;INDEFERIDO COM RECURSO;11;PP;PROGRESSISTAS;MALTA;20/10/1945;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;PECUARISTA;N;NÃO ELEITO;DEFERIDO;1072150.12;626000.0;596000.0;1,15%;37558.0
100000601902;DEPUTADO FEDERAL;LEANDRO BELLO DE SÁ ROSAS COSTA;2525;LEANDRO BELLO;APTO;DEFERIDO;25;DEM;DEMOCRATAS;SÃO LUÍS;29/04/1987;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;160000.0;158000.0;156978.2;0,39%;12873.0
