id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
130000626978;DEPUTADO FEDERAL;REGINALDO LAZARO DE OLIVEIRA LOPES;1312;REGINALDO LOPES;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;BOM SUCESSO;02/04/1973;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;622916.1;1056430.62;1028965.19;1,93%;194332.0
130000613238;DEPUTADO FEDERAL;ANIBAL HENRIQUE DE OLIVEIRA MACEDO;2323;ANIBAL MACEDO;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;BELO HORIZONTE;06/07/1971;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;20000.0;94982.28;71193.35;0,02%;2110.0
130000606463;DEPUTADO FEDERAL;CARLOS DE FREITAS COSTA;7016;CARLOS FREITAS;APTO;DEFERIDO;70;AVANTE;AVANTE;BELO HORIZONTE;12/06/1963;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;N;SUPLENTE;DEFERIDO;816000.0;;;0,00%;376.0
130000606480;DEPUTADO FEDERAL;GERALDO SEBASTIAO MAGELA DIAS;7007;GERALDO MAGELA - CEGUINHO;APTO;DEFERIDO;70;AVANTE;AVANTE;BELO HORIZONTE;10/05/1958;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;1230900.25;124817.6;94000.0;0,13%;13186.0
130000600650;DEPUTADO FEDERAL;MARCO AURÉLIO ROCHA;3099;MARCO ROCHA;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;BELO HORIZONTE;22/11/1957;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;MÉDICO;N;SUPLENTE;DEFERIDO;716611.44;11099.16;9628.0;0,02%;2142.0
130000628979;DEPUTADO FEDERAL;SUSANA CASSIA MIGUEL;1927;SUSANA;APTO;DEFERIDO;19;PODE;PODEMOS;SERRANIA;28/06/1970;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;COMERCIANTE;N;SUPLENTE;DEFERIDO;;1000.0;;0,00%;45.0
130000606509;DEPUTADO FEDERAL;ANA CAROLINA PONTELO CANABRAVA;7009;CAROL CANABRAVA;APTO;DEFERIDO;70;AVANTE;AVANTE;SETE LAGOAS;26/11/1979;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PUBLICITÁRIO;N;SUPLENTE;DEFERIDO;296550.11;258175.91;170705.75;0,10%;9591.0
130000606512;DEPUTADO FEDERAL;EMANUELLE RODRIGUES GONÇALVES;7046;ENFERMEIRA EMANUELLE;APTO;DEFERIDO;70;AVANTE;AVANTE;BELO HORIZONTE;28/07/1990;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ENFERMEIRO;N;SUPLENTE;DEFERIDO;18000.0;4143.42;;0,01%;682.0
130000626687;DEPUTADO FEDERAL;ROBERTO DA VEIGA FELIPPE;3155;ROBERTO FELIPPE;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;BELO HORIZONTE;05/11/1960;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;580000.0;15240.0;15000.0;0,02%;1616.0
130000628436;DEPUTADO FEDERAL;ROGERIO ALVES FERNANDES;5417;FERNANDES;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;AUGUSTO DE LIMA;17/03/1962;MASCULINO;ENSINO MÉDIO INCOMPLETO;DIVORCIADO(A);PARDA;VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;N;NÃO ELEITO;DEFERIDO;;;;0,00%;205.0
130000626645;DEPUTADO FEDERAL;AFONSO VICTOR VIANNA DE ANDRADE;3138;PROFESSOR AFONSO VICTOR;INAPTO;INDEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;CORINTO;10/10/1947;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;N;NÃO ELEITO;INDEFERIDO COM RECURSO;873000.0;29825.5;24715.5;0,00%;0.0
130000626998;DEPUTADO FEDERAL;ELZA GERALDA DA PAIXÃO;4013;ELZA PAIXÃO;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;ANTONIO DIAS;20/05/1966;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PRETA;SECRETÁRIO E DATILÓGRAFO;N;SUPLENTE;DEFERIDO;;;;0,01%;700.0
130000610157;DEPUTADO FEDERAL;ANTONIO FERNANDO PEREIRA DOS SANTOS;5112;FERNANDO DE ALMENARA;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;ALMENARA;27/09/1968;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;CONTADOR;N;SUPLENTE;DEFERIDO;224900.0;400.0;;0,00%;334.0
130000600642;DEPUTADO FEDERAL;LEANDRA MACHADO SANTOS;3063;LEANDRA MACHADO;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;ITAJUBÁ;13/06/1963;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;4790363.61;198879.16;197779.49;0,15%;15021.0
130000626706;DEPUTADO FEDERAL;RONALDO RÉGIO MATOS DE OLIVEIRA;3179;RONALDO MATOS;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;ASSARÉ;20/07/1981;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;808000.0;1000.0;1000.0;0,01%;551.0
130000617915;DEPUTADO FEDERAL;DALVA PEREIRA DE OLIVEIRA;2838;DALVA DE OLIVEIRA;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;UBERLÂNDIA;18/02/1981;FEMININO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;;120.0;;0,00%;144.0
130000600647;DEPUTADO FEDERAL;LUIZ MARCELO CABRAL TAVARES;3013;PROCURADOR MARCELO CABRAL ;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;RIO DE JANEIRO;13/12/1970;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO ESTADUAL;N;SUPLENTE;DEFERIDO;507767.89;24683.51;22830.43;0,05%;4772.0
130000626977;DEPUTADO FEDERAL;WADSON NATHANIEL RIBEIRO;6565;WADSON RIBEIRO;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;JUIZ DE FORA;26/08/1976;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;672691.98;1636408.46;1671762.47;0,43%;43500.0
130000626995;DEPUTADO FEDERAL;WELLINGTON LUIZ DA CONCEIÇÃO;2707;WELLINGTON LUIZ;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;BELO HORIZONTE;24/05/1975;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PRETA;OUTROS;N;SUPLENTE;DEFERIDO;;;;0,01%;545.0
130000617882;DEPUTADO FEDERAL;MAYCON ARIEL DA SILVA;2898;AGENTE MAYCON ARIEL;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;MURIAÉ;08/06/1985;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;NÃO ELEITO;INDEFERIDO COM RECURSO;;;;0,01%;910.0
130000616603;DEPUTADO FEDERAL;JULIANA MICHELE PAIXAO DE ANDRADE;1735;JULIANA PAIXAO;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;MARABÁ;12/07/1981;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);N;SUPLENTE;DEFERIDO;13000.0;5381.0;3958.4;0,03%;2583.0
130000626640;DEPUTADO FEDERAL;ALEXANDRE DE MELO BAIA;3139;ALEXANDRE BAIA;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;SÃO JOSÉ DO RIO PRETO;25/12/1968;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;PROFESSOR DE ENSINO SUPERIOR;N;SUPLENTE;DEFERIDO;;4145.75;2500.0;0,01%;1102.0
130000626683;DEPUTADO FEDERAL;GLAYDSON DIAS DE PAULA;4411;GLAYDSON DIAS DE PAULA;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;BELO HORIZONTE;19/04/1969;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS;N;SUPLENTE;DEFERIDO;150000.0;2500.0;;0,01%;585.0
130000626953;DEPUTADO FEDERAL;LINCOLN DINIZ PORTELA;2233;LINCOLN PORTELA;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;BELO HORIZONTE;03/11/1953;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;622966.71;1654850.0;1632893.48;1,05%;105731.0
130000627010;DEPUTADO FEDERAL;ELOISA RODRIGUES DA CUNHA;4033;ELOISA CUNHA;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;PARACATU;28/03/1961;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;SECRETÁRIO E DATILÓGRAFO;N;SUPLENTE;DEFERIDO;213735.47;76000.0;74913.51;0,01%;1313.0
130000620822;DEPUTADO FEDERAL;SOLANGE VITORIA LOURENÇO OLIVEIRA MACIEL;1516;SOLANGE OLIVEIRA;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;SÃO JOSÉ DO GOIABAL;16/02/1984;FEMININO;ENSINO MÉDIO COMPLETO;VIÚVO(A);PARDA;DONA DE CASA;N;SUPLENTE;DEFERIDO;;101045.83;50407.0;0,00%;470.0
130000611094;DEPUTADO FEDERAL;MARIA APARECIDA DE JESUS;1403;CIDA JESUS;APTO;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;CONTAGEM;22/11/1966;FEMININO;ENSINO MÉDIO COMPLETO;SEPARADO(A) JUDICIALMENTE;BRANCA;VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;N;SUPLENTE;DEFERIDO;;45000.0;45000.0;0,00%;369.0
130000626658;DEPUTADO FEDERAL;CRISTIANO GIMENES DE CARVALHO;3134;SGT CARVALHO BRAZUCA;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;ANÁPOLIS;20/02/1972;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;244000.0;11925.7;10013.2;0,02%;1995.0
130000629130;DEPUTADO FEDERAL;PATRÍCIA MONTEIRO GOMES;3589;PATRÍCIA MONTEIRO;APTO;DEFERIDO;35;PMB;PARTIDO DA MULHER BRASILEIRA;BELO HORIZONTE;16/06/1990;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;;5000.0;;0,00%;45.0
130000606680;DEPUTADO FEDERAL;VALDIR TIAGO DIAS;5017;PROFESSOR VALDIR TIAGO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;ESPINOSA;10/06/1976;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;PROFESSOR DE ENSINO MÉDIO;N;SUPLENTE;DEFERIDO;554063.67;14848.6;8495.04;0,04%;4370.0
130000624474;DEPUTADO FEDERAL;MÁRCIO LUIZ DA SILVA;1925;MÁRCIO CAP;APTO;DEFERIDO;19;PODE;PODEMOS;SANTOS DUMONT;12/01/1958;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;GERENTE;N;SUPLENTE;DEFERIDO;48000.0;10446.69;;0,01%;621.0
130000600690;DEPUTADO FEDERAL;RÔMULO BULDRINI FILOGÔNIO;3053;RÔMULO BULDRINI FILOGÔNIO;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;BELO HORIZONTE;26/09/1953;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;SUPLENTE;DEFERIDO;35594.74;54849.16;46926.56;0,02%;1917.0
130000620775;DEPUTADO FEDERAL;KÁTIA GERALDA SILVA GOYATA;1233;KÁTIA PORRETA GOYATÁ;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;MONTES CLAROS;28/04/1969;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;PSICÓLOGO;N;SUPLENTE;DEFERIDO;505189.55;90000.0;89564.85;0,12%;11885.0
130000620748;DEPUTADO FEDERAL;CLEONICE DIAS FERREIRA;9022;CLEONICE DIAS;INAPTO;INDEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;NANUQUE;24/10/1980;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;NÃO ELEITO;INDEFERIDO COM RECURSO;;;;0,00%;0.0
130000620796;DEPUTADO FEDERAL;ROSANA CLÁUDIA ZEFERINO DE SOUZA;4373;ROSANA ZEFERINO - CACAU;APTO;DEFERIDO;43;PV;PARTIDO VERDE;CONTAGEM;02/09/1973;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;N;SUPLENTE;DEFERIDO;;57068.479999999996;38500.0;0,00%;141.0
130000613225;DEPUTADO FEDERAL;STEFANO AGUIAR DOS SANTOS;5544;STEFANO AGUIAR;APTO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;BELO HORIZONTE;03/03/1976;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;S;ELEITO POR QP;DEFERIDO;2890296.74;375073.75;353316.43;1,15%;115795.0
130000610174;DEPUTADO FEDERAL;JOSE CELIO DE OLIVEIRA FAQUIM;3698;FAQUIM;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;CORONEL FABRICIANO;05/08/1963;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;SUPLENTE;DEFERIDO;500.0;;;0,00%;186.0
130000624477;DEPUTADO FEDERAL;LIDIANE DE JESUS MEDINA ANTONUCI;1939;LIDIANE;INAPTO;INDEFERIDO;19;PODE;PODEMOS;AMPARO DO SERRA;05/11/1980;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;OUTROS;N;;;150000.0;20000.0;20000.0;;
130000613204;DEPUTADO FEDERAL;DOMINGOS SÁVIO CAMPOS RESENDE;4560;DOMINGOS SÁVIO;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;SÃO TIAGO;25/03/1957;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;1708830.16;1937791.19;1892719.0;0,80%;80990.0
130000606667;DEPUTADO FEDERAL;JORGE LUIS CANHESTRO SANTOS;5012;JORGE CANHESTRO (ELVIS);APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;BELO HORIZONTE;01/11/1966;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;GARÇOM;N;SUPLENTE;DEFERIDO;;2118.56;;0,00%;403.0
130000628521;DEPUTADO FEDERAL;JOSÉ GABRIEL VILAS BOAS;1221;GABRIEL VILAS BOAS;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;LAVRAS;15/10/1968;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;40070.68;15669.14;13033.0;0,02%;2492.0
130000624468;DEPUTADO FEDERAL;JULIARINA APARECIDA DA CRUZ PEREIRA;1913;JULIARINA CRUZ;APTO;DEFERIDO;19;PODE;PODEMOS;MURIAÉ;02/05/1976;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;78465.97;272990.66000000003;270604.2;0,00%;478.0
130000620762;DEPUTADO FEDERAL;ADELINA RODRIGUES MARTINS;9040;ADELINA MARTINS;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;BETIM;31/08/1970;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;DONA DE CASA;N;SUPLENTE;DEFERIDO;200000.0;1020.0;1020.0;0,01%;1137.0
130000626702;DEPUTADO FEDERAL;REINALDO SOARES DE LACERDA;3112;REINALDO LACERDA;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;ITABIRA;22/05/1971;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;VEREADOR;N;SUPLENTE;DEFERIDO;658345.3200000001;22886.06;21386.06;0,04%;3563.0
130000626957;DEPUTADO FEDERAL;BERENICE SOUZA DA SILVA;1356;BERENICE DA SILVA;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;MORADA NOVA DE MINAS;05/01/1954;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;DONA DE CASA;N;SUPLENTE;DEFERIDO;249380.0;90600.0;88645.99;0,03%;3181.0
130000626979;DEPUTADO FEDERAL;ROBERTO VIEIRA DE CARVALHO;1301;ROBERTO CARVALHO;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;UBÁ;22/06/1953;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;1123703.48;93518.0;93478.27;0,08%;7902.0
130000626989;DEPUTADO FEDERAL;JOÃO APARECIDO RIBEIRO LEAL;2737;SUB TENENTE JOÃO LEAL;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;RIO VERMELHO;27/03/1967;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;POLICIAL MILITAR;N;SUPLENTE;DEFERIDO;820000.0;283.2;283.2;0,01%;630.0
130000606502;DEPUTADO FEDERAL;ROBERTO CARLOS MUNIZ;7020;ROBERTO CARLOS;APTO;DEFERIDO;70;AVANTE;AVANTE;IPATINGA;12/03/1976;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;OUTROS;N;SUPLENTE;DEFERIDO;320000.0;473512.55;391700.0;0,19%;19303.0
130000628526;DEPUTADO FEDERAL;BRUNO PEREIRA BEDIM;5000;BRUNO BEDIM;INAPTO;INDEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;LEOPOLDINA;23/01/1982;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;N;NÃO ELEITO;INDEFERIDO COM RECURSO;311528.52;;;0,00%;0.0
130000629066;DEPUTADO FEDERAL;AILTON JOSE DE FREITAS;5448;AILTON DABOÇA;INAPTO;RENÚNCIA;54;PPL;PARTIDO PÁTRIA LIVRE;TEIXEIRA;04/11/1953;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);PRETA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;;;;;;;
