id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
120000613461;DEPUTADO FEDERAL;APARECIDO MEDEIROS DA SILVA;2511;CIDO MEDEIROS;APTO;DEFERIDO;25;DEM;DEMOCRATAS;IEPÊ;04/10/1960;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;VEREADOR;N;SUPLENTE;DEFERIDO;25009.64;154086.57;150861.57;0,64%;7938.0
120000625713;DEPUTADO FEDERAL;NEWTON LUIZ DE OLIVEIRA;1577;NENÃO;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;NOVA ANDRADINA;28/08/1960;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO FEDERAL;N;NÃO ELEITO;DEFERIDO;260314.0;114960.0;112730.2;0,51%;6345.0
120000613460;DEPUTADO FEDERAL;ALAN AQUINO GUEDES DE MENDONÇA;2522;ALAN GUEDES;APTO;DEFERIDO;25;DEM;DEMOCRATAS;DOURADOS;25/12/1985;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;35481.53;412709.76;408409.76;0,90%;11145.0
120000627756;DEPUTADO FEDERAL;ROBERTO SANTOS DURÃES;1788;ROBERTO DURÃES;INAPTO;INDEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;CAMPO GRANDE;31/07/1958;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;PEDAGOGO;N;;;164000.0;;;;
120000613456;DEPUTADO FEDERAL;HUMBERTO REZENDE PEREIRA;4545;BETO PEREIRA;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;CAMPO GRANDE;14/11/1977;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;DEPUTADO;N;ELEITO POR QP;DEFERIDO;2743666.37;833539.3;809471.93;6,49%;80500.0
120000615491;DEPUTADO FEDERAL;MARIA APARECIDA DE OLIVEIRA DO AMARAL;9099;ENFERMEIRA CIDA AMARAL;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;CASSILÂNDIA;12/01/1960;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;ENFERMEIRO;N;SUPLENTE;DEFERIDO;195000.0;218000.0;207463.95;0,68%;8452.0
120000629772;DEPUTADO FEDERAL;JOSÉ CARLOS FERREIRA ALVARENGA;4322;ALVARENGA;APTO;DEFERIDO;43;PV;PARTIDO VERDE;CAMPO GRANDE;03/07/1963;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;N;NÃO ELEITO;PENDENTE DE JULGAMENTO;;9582.18;5000.0;0,04%;526.0
120000613467;DEPUTADO FEDERAL;RONALDO FRANCO MENDES;5100;RONALDO FRANCO;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;PONTA PORÃ;03/10/1967;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO FUNDAMENTAL;N;SUPLENTE;DEFERIDO;980400.0;39494.0;33824.8;0,13%;1653.0
120000627790;DEPUTADO FEDERAL;LEYDE ALVES PEDROSO;4040;LEYDE PEDROSO;INAPTO;INDEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;COXIM;29/11/1967;FEMININO;SUPERIOR COMPLETO;CASADO(A);PRETA;JORNALISTA E REDATOR;N;;;150000.0;;;;
120000613454;DEPUTADO FEDERAL;BEATRIZ ROSALIA RIBEIRO CAVASSA DE OLIVEIRA;4500;BIA CAVASSA;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;CORUMBÁ;14/01/1969;FEMININO;SUPERIOR COMPLETO;VIÚVO(A);BRANCA;SERVIDOR PÚBLICO MUNICIPAL;N;SUPLENTE;DEFERIDO;560830.7100000001;260325.0;225949.06;1,44%;17834.0
