id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
110000607706;DEPUTADO FEDERAL;MILTON JORGE TURI RONDON;5015;CACIQUE RONDON;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;MATUPÁ;01/04/1955;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);INDÍGENA;OUTROS;N;NÃO ELEITO;DEFERIDO;;4808.0199999999995;;0,09%;1304.0
110000622027;DEPUTADO FEDERAL;FELIPE PEREIRA CORREA;1812;FELLIPE CORREA;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;CUIABÁ;13/04/1987;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;;20392.69;16778.92;0,11%;1614.0
110000619194;DEPUTADO FEDERAL;HELIO SILVA FONSECA;2700;HELIO SILVA FONSECA;INAPTO;INDEFERIDO;27;DC;DEMOCRACIA CRISTÃ;PORTO VELHO;28/11/1978;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;COMERCIANTE;N;NÃO ELEITO;INDEFERIDO COM RECURSO;45000.0;24684.47;;0,00%;0.0
110000628178;DEPUTADO FEDERAL;WALTER REGENOLD GONÇALVES;4045;WALTER REGENALD;INAPTO;INDEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;CORUMBÁ;17/09/1953;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;N;NÃO ELEITO;INDEFERIDO COM RECURSO;;;;0,00%;0.0
110000621667;DEPUTADO FEDERAL;VICTORIO GALLI FILHO;1717;VICTÓRIO GALLI;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;ROSANA;30/04/1961;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;S;SUPLENTE;DEFERIDO;71437.23;722277.64;718605.08;3,57%;52947.0
110000621354;DEPUTADO FEDERAL;PAULA HARTMANN ATUA BORGES;7744;PAULA HARTMANN;INAPTO;RENÚNCIA;77;SOLIDARIEDADE;SOLIDARIEDADE;ARAXÁ;29/06/1986;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ASTRÔNOMO;N;;;;;;0,03%;379.0
110000622424;DEPUTADO FEDERAL;ANA RITA MACIEL RIBEIRO;2555;ANA RITA;INAPTO;INDEFERIDO;25;DEM;DEMOCRATAS;NOSSA SENHORA DE LIVRAMENTO;12/04/1955;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;ARQUITETO;N;;;;;;;
110000621355;DEPUTADO FEDERAL;VANDER ALBERTO MASSON;4522;VANDER MASSON;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;NOVA OLIMPIA;22/06/1968;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;1024000.0;421142.01;387313.14;1,83%;27044.0
110000629244;DEPUTADO FEDERAL;MARGARETH MARTA SILVA DE ANDRADE;2030;MARGARETH CARDOSO;APTO;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;ALTO PARAGUAI;29/07/1956;FEMININO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PARDA;DONA DE CASA;N;NÃO ELEITO;DEFERIDO;120000.0;50500.0;50000.0;0,22%;3234.0
110000622422;DEPUTADO FEDERAL;ADRIANO APARECIDO SILVA;2525;ADRIANO SILVA;APTO;DEFERIDO;25;DEM;DEMOCRATAS;CACERES;12/10/1970;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;PROFESSOR DE ENSINO SUPERIOR;N;SUPLENTE;DEFERIDO;400588.21;711889.64;664989.64;2,70%;40005.0
