id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
150000602479;DEPUTADO FEDERAL;AGUINALDO VELLOSO BORGES RIBEIRO;1111;AGUINALDO RIBEIRO;APTO;DEFERIDO;11;PP;PROGRESSISTAS;CAMPINA GRANDE;13/02/1969;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;S;ELEITO POR QP;DEFERIDO;1458797.07;1620539.02;1514519.27;6,04%;120220.0
150000615742;DEPUTADO FEDERAL;FRANCISCO MARCIO EUGENIO VIEIRA SARAIVA;1755;CORONEL MARCIO SARAIVA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;FORTALEZA;04/10/1958;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;MILITAR REFORMADO;N;SUPLENTE;DEFERIDO;1963000.0;19233.34;11013.2;0,16%;3109.0
150000625019;DEPUTADO FEDERAL;LUCIANO MEDEIROS LIMA;5110;LUCIANO PRIMO;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;MULUNGU;19/04/1970;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;AGRICULTOR;N;SUPLENTE;DEFERIDO;;2799.0;2400.0;0,02%;459.0
150000602490;DEPUTADO FEDERAL;MARIA LUCIA ARAUJO DE MEDEIROS;3611;LUCIA MEDEIROS;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;PATOS;19/03/1958;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DONA DE CASA;N;SUPLENTE;DEFERIDO;;52633.34;50000.0;0,00%;97.0
150000612364;DEPUTADO FEDERAL;PEDRO OLIVEIRA CUNHA LIMA;4510;PEDRO CUNHA LIMA;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;CAMPINA GRANDE;15/08/1988;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;S;ELEITO POR QP;DEFERIDO;528899.87;1268604.15;1221300.58;3,86%;76754.0
150000615732;DEPUTADO FEDERAL;PAMELA MONIQUE CARDOSO BÓRIO;1707;PÂMELA BÓRIO;INAPTO;CASSADO;17;PSL;PARTIDO SOCIAL LIBERAL;SENHOR DO BONFIM;27/08/1983;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;JORNALISTA E REDATOR;N;NÃO ELEITO;DEFERIDO;298000.0;34233.32;30973.35;0,56%;11120.0
150000608812;DEPUTADO FEDERAL;GREGORIA BENARIO LINS E SILVA;6565;GREGÓRIA BENÁRIO;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;JOAO PESSOA;13/02/1980;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;111238.95;88840.0;81226.56;0,40%;7945.0
150000612378;DEPUTADO FEDERAL;VALDENI GOMES DE ARAÚJO;4321;NENEM CORRETORA;APTO;DEFERIDO;43;PV;PARTIDO VERDE;PATOS;14/05/1970;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;N;SUPLENTE;DEFERIDO;;20688.34;14999.619999999999;0,07%;1368.0
150000615740;DEPUTADO FEDERAL;IRIS OLIVEIRA DO NASCIMENTO;1790;CORONEL IRIS;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;MANAUS;15/10/1969;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;POLICIAL MILITAR;N;SUPLENTE;DEFERIDO;16500.0;36298.33;34692.95;0,25%;5032.0
150000608808;DEPUTADO FEDERAL;JOSÉ LUIZ PEREIRA GONÇALVES;1010;BISPO JOSÉ LUIZ ;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;RIO DE JANEIRO;07/11/1963;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;VEREADOR;N;SUPLENTE;DEFERIDO;57764.39;669785.88;565426.1900000001;1,38%;27374.0
150000604521;DEPUTADO FEDERAL;MARILUZIA PEREIRA DE SOUZA;1899;MARILÚZIA SOUZA;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;JOAO PESOA;20/04/1970;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;PROFESSOR DE ENSINO MÉDIO;N;NÃO ELEITO;DEFERIDO;123000.0;4550.0;2799.3;0,02%;454.0
150000600167;DEPUTADO FEDERAL;SILVIO ROBERTO CALAÇO;5005;CALAÇO ;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;COREMAS;20/02/1964;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;SERVIDOR PÚBLICO FEDERAL;N;NÃO ELEITO;DEFERIDO;180000.0;5437.23;;0,02%;441.0
150000604522;DEPUTADO FEDERAL;RONALDO LUIZ DA SILVA;1818;RONALDO LUIZ;INAPTO;INDEFERIDO;18;REDE;REDE SUSTENTABILIDADE;GOIANA;02/07/1976;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;GEÓGRAFO;N;NÃO ELEITO;INDEFERIDO COM RECURSO;;18170.0;16115.52;0,00%;0.0
150000600248;DEPUTADO FEDERAL;MARILIA DE ALMEIDA DANTAS;3000;MARILIA DANTAS;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;JOÃO PESSOA;08/07/1981;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;N;NÃO ELEITO;DEFERIDO;734277.95;15954.66;13508.11;0,48%;9460.0
150000608802;DEPUTADO FEDERAL;VALTEMIRA CLEY AVELINO DA SILVA;4022;PROFESSORA MIRA;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;SANTA RITA;12/03/1979;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;PROFESSOR DE ENSINO FUNDAMENTAL;N;SUPLENTE;DEFERIDO;;2659.9;9.899999999999999;0,05%;1015.0
150000615739;DEPUTADO FEDERAL;RIVALDO ALVES DE SOUSA;1715;RIVALDO;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;ANTENOR NAVARRO;24/09/1967;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;SUPLENTE;DEFERIDO;;3000.0;3000.0;0,02%;318.0
