id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
170000626538;DEPUTADO FEDERAL;ANDERSON DEVON FERNANDES DO NASCIMENTO;5440;DESSON ARRAES;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;PAULISTA;18/08/1984;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;;;;0,01%;369.0
170000610295;DEPUTADO FEDERAL;SEVERINO DE SOUZA SILVA;4080;NINHO;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;IGARASSU;14/03/1952;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;133702.12;575828.71;540207.88;0,34%;14647.0
170000607359;DEPUTADO FEDERAL;MICHELLE CARINE DOS SANTOS SIQUEIRA;5005;MICHELLE SANTOS;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;CARUARU;16/11/1984;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;N;NÃO ELEITO;DEFERIDO;;12190.0;10600.0;0,02%;904.0
170000627482;DEPUTADO FEDERAL;JOSIVALDO MANOEL BARROS;1878;JOJÓ MOTOTAXI;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;BALÉM DE SÃO FRANCISCO;05/01/1981;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;MOTOBOY;N;NÃO ELEITO;DEFERIDO;3000.0;;;0,02%;1042.0
170000607339;DEPUTADO FEDERAL;JOSEFA RENE SANTOS PATRIOTA;5099;RENE PATRIOTA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;ARAPIRACA;27/06/1956;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;MÉDICO;N;NÃO ELEITO;DEFERIDO;896111.08;36057.46;32749.399999999998;0,18%;7605.0
170000614142;DEPUTADO FEDERAL;RUBENITA FERREIRA DOS SANTOS DAS CHAGAS;7789;TIA NITA;APTO;DEFERIDO;77;SOLIDARIEDADE;SOLIDARIEDADE;RECIFE;29/08/1961;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;SUPLENTE;DEFERIDO;;250.0;;0,01%;509.0
170000617109;DEPUTADO FEDERAL;PEDRO RICARDO DA SILVA;3155;PEDRO RICARDO;INAPTO;INDEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PESQUEIRA;29/06/1956;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;NÃO ELEITO;INDEFERIDO COM RECURSO;;;;0,00%;0.0
170000617083;DEPUTADO FEDERAL;JOSE ARNALDO AMARAL;1799;ZÉ ARNALDO AMARAL;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;BOM CONSELHO;15/07/1951;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;578000.0;20000.0;19990.0;0,07%;2998.0
170000617325;DEPUTADO FEDERAL;WASHINGTON JOSÉ GADELHA;1200;IRMÃO WASHINGTON;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;RECIFE;15/06/1959;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;OUTROS;N;SUPLENTE;DEFERIDO;;320.0;220.0;0,02%;756.0
170000617152;DEPUTADO FEDERAL;JOSÉ GILMÁRIO DE ARAÚJO VALADARES;1788;GILMÁRIO VALADARES;INAPTO;RENÚNCIA;17;PSL;PARTIDO SOCIAL LIBERAL;RECIFE;13/12/1962;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;N;;;;;;;
170000616991;DEPUTADO FEDERAL;AMANDA CROCIA ALHEIROS LEAL;1480;AMANDA LEAL;APTO;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;SURUBIM;14/03/1982;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;;1200.0;;0,00%;75.0
170000614121;DEPUTADO FEDERAL;JAILSON FRANCISCO DE TORRES;3333;JAILSON FRANCISCO;APTO;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;RECIFE;22/05/1970;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;COMERCIANTE;N;SUPLENTE;DEFERIDO;110691.55;260875.85;224875.85;0,22%;9639.0
170000614125;DEPUTADO FEDERAL;RONEI APRIGIO FREITAS DOS SANTOS;3311;PROFESSOR RONEI;APTO;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;ESCADA;21/07/1975;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO FEDERAL;N;SUPLENTE;DEFERIDO;1.0;6779.4;179.4;0,03%;1480.0
170000626609;DEPUTADO FEDERAL;SEVERINO GONÇALVES DE SANTANA;3633;BIUTUR;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;OLINDA;10/03/1962;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;GUIA DE TURISMO;N;NÃO ELEITO;DEFERIDO;;1019.67;19.67;0,01%;329.0
