id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
180000608789;DEPUTADO FEDERAL;JEAN CARLOS RODRIGUES DE ABREU;3333;JEAN ABREU;APTO;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;TERESINA;07/11/1971;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PARDA;CABELEIREIRO E BARBEIRO;N;SUPLENTE;DEFERIDO;;89500.0;79896.4;0,15%;2694.0
180000612479;DEPUTADO FEDERAL;CELSO HENRIQUE BARBOSA LIMA;2323;CELSO HENRIQUE PPS;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;TERESINA;07/08/1963;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;SERVIDOR PÚBLICO MUNICIPAL;N;NÃO ELEITO;DEFERIDO;60000.0;128214.42;107866.75;0,08%;1508.0
180000615472;DEPUTADO FEDERAL;ANTÔNIO UCHÔA DE OLIVEIRA;2800;UCHÔA;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PEDRO SEGUNDO;13/07/1954;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ENGENHEIRO;N;NÃO ELEITO;DEFERIDO;3040000.0;8200.0;8190.2;0,22%;3883.0
180000607132;DEPUTADO FEDERAL;LEANDRO RODRIGO RIBEIRO DE AQUINO;5010;LEANDRO AQUINO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;JOÃO PESSOA;07/01/1983;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);AMARELA;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;N;NÃO ELEITO;DEFERIDO;2500.0;4084.0;891.56;0,05%;835.0
180000612481;DEPUTADO FEDERAL;MARIA DO SOCORRO CARDOSO DOS SANTOS;2307;SOCORRO DA MADRE TERESA;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;BARRAS;08/04/1970;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;DONA DE CASA;N;NÃO ELEITO;DEFERIDO;20000.0;76728.01;75413.2;0,13%;2387.0
180000613943;DEPUTADO FEDERAL;LEIDA MARIA DE OLIVEIRA DINIZ;1344;PROMOTORA LEIDA DINIZ;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;CAJAZEIRAS;28/02/1960;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO ESTADUAL;N;SUPLENTE;DEFERIDO;642000.16;117974.06999999999;88111.74;0,25%;4458.0
180000612486;DEPUTADO FEDERAL;FRANCISCO DO NASCIMENTO SILVA;4322;CHICO DIMAS;APTO;DEFERIDO;43;PV;PARTIDO VERDE;ELESBÃO VELOSO;17/12/1953;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;66864.2;18305.82;14789.82;0,07%;1317.0
180000607145;DEPUTADO FEDERAL;EDMUNDO DOS SANTOS GALVÃO;5000;EDMUNDO GALVÃO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;PICOS;16/12/1966;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;N;NÃO ELEITO;DEFERIDO;4000.0;8285.3;3365.3;0,06%;1019.0
180000613956;DEPUTADO FEDERAL;JOSÉ FRANCISCO PAES LANDIM;1410;PAES LANDIM;APTO;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;SÃO JOÃO DO PIAUÍ;23/03/1937;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;DEPUTADO;S;SUPLENTE;DEFERIDO;7429.82;1906141.95;1936399.86;3,70%;66072.0
180000629701;DEPUTADO FEDERAL;IZABEL MARIA DO ESPIRITO SANTO GROSSE;1767;MÃE IZABEL DE OXUM;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;TERESINA;17/04/1964;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;ENFERMEIRO;N;NÃO ELEITO;DEFERIDO;;;;0,02%;347.0
180000612487;DEPUTADO FEDERAL;ROBERTO ARRAIS;4355;ROBERTO ARRAIS;APTO;DEFERIDO;43;PV;PARTIDO VERDE;PAULISTANA;25/01/1980;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;PROFESSOR DE ENSINO MÉDIO;N;NÃO ELEITO;DEFERIDO;277847.91000000003;18913.7;12997.7;0,15%;2604.0
180000626507;DEPUTADO FEDERAL;RONALDO SOARES SILVA;2929;RONALDO;INAPTO;RENÚNCIA;29;PCO;PARTIDO DA CAUSA OPERÁRIA;DOM PEDRO;26/06/1976;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PARDA;GARÇOM;N;;;;600.0;;;
180000612496;DEPUTADO FEDERAL;MARIA DAS GRAÇAS HERMES DA COSTA NUNES;1888;IRMA GRAÇA;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;TERESINA;26/06/1959;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;;214740.0;190874.94;0,13%;2286.0
180000604121;DEPUTADO FEDERAL;HÉLIO SAMPAIO MELO NETO;4566;HÉLIO MELO;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;TERESINA;05/02/1982;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;SUPLENTE;DEFERIDO;137924.08000000002;138300.0;114367.55;0,17%;2956.0
180000600812;DEPUTADO FEDERAL;EDINA CRUZ DE SOUSA LIMA;2727;EDINA CRUZ;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;TIMON;21/01/1965;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;COMERCIANTE;N;NÃO ELEITO;DEFERIDO;;23130.0;22318.17;0,03%;471.0
180000623105;DEPUTADO FEDERAL;FRANCISCO DAS CHAGAS FERREIRA;4456;FERREIRA;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;ITAINÓPOLIS;13/03/1956;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;4978.94;3023.2;1587.4499999999998;0,09%;1608.0
