id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
160000612843;DEPUTADO FEDERAL;CLICEU ANTUNES PEREIRA;4351;PROFESSOR CLICEU;APTO;DEFERIDO;43;PV;PARTIDO VERDE;PONTA GROSSA;27/11/1947;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PRETA;SERVIDOR PÚBLICO CIVIL APOSENTADO;N;SUPLENTE;DEFERIDO;632572.91;222.0;220.5;0,00%;126.0
160000609962;DEPUTADO FEDERAL;MARLUS HUMBERTO GERONASSO;1820;PROFESSOR MARLUS;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;CURITIBA;24/12/1965;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;N;NÃO ELEITO;DEFERIDO;590000.0;16375.0;11747.19;0,08%;4656.0
160000621773;DEPUTADO FEDERAL;LUIZ CARLOS CAITO QUINTANA;1510;CAITO QUINTANA;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;SANTO AUGUSTO;30/07/1946;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;6185579.899999999;152719.68;142000.0;0,14%;8299.0
160000612879;DEPUTADO FEDERAL;BELARMINO ANTONIO BACCIN;4311;DOUTOR BACCIN;APTO;DEFERIDO;43;PV;PARTIDO VERDE;PASSO FUNDO;13/08/1956;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;MÉDICO;N;SUPLENTE;DEFERIDO;2406781.84;10000.0;10000.0;0,05%;3041.0
160000623065;DEPUTADO FEDERAL;EDUARDO YOCHIMITSU FUJIKAWA;1345;EDUARDO FUJIKAWA;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;MARINGÁ;02/06/1963;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);AMARELA;COMERCIANTE;N;SUPLENTE;DEFERIDO;;15200.0;15000.0;0,02%;1269.0
160000619609;DEPUTADO FEDERAL;KELI PINHEIRO;1021;KELI PINHEIRO;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;PONTA GROSSA;19/11/1984;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;340000.0;23400.0;22975.58;0,01%;580.0
160000628925;DEPUTADO FEDERAL;MAYNÃ MARTINEZ ARAUJO;1850;MAYNÃ MARTINEZ ARAUJO;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;SÃO JOSE´DOS PINHAIS;31/01/1986;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;NÃO ELEITO;INDEFERIDO COM RECURSO;167600.0;800.0;800.0;0,00%;111.0
160000609953;DEPUTADO FEDERAL;ARTUR MATIAS BRANDÃO FILHO;1844;DR ARTUR BRANDÃO;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;RIO DE JANEIRO;11/08/1974;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;MÉDICO;N;NÃO ELEITO;DEFERIDO;501000.0;2635.0;1704.5;0,01%;447.0
160000612851;DEPUTADO FEDERAL;JOELMA BARBOSA DE LIRA PITA;4332;JOELMA LIRA;APTO;DEFERIDO;43;PV;PARTIDO VERDE;MARIALVA;28/12/1976;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO MUNICIPAL;N;SUPLENTE;DEFERIDO;;50317.5;39999.52;0,02%;1149.0
160000612854;DEPUTADO FEDERAL;CEZAR DE LIMA MARTINS;4346;CEZAR LIMA DO BIG BROTHER;APTO;DEFERIDO;43;PV;PARTIDO VERDE;INACIO MARTINS;07/11/1984;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;1716909.24;21630.21;20009.4;0,54%;31102.0
160000621528;DEPUTADO FEDERAL;SIDNEI BELIZARIO DE MELO;2800;POLICIAL SIDNEI BELIZÁRIO;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;CURITIBA;28/05/1963;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;POLICIAL CIVIL;N;NÃO ELEITO;DEFERIDO;221000.0;3102.88;2702.88;0,02%;1074.0
160000612810;DEPUTADO FEDERAL;LIDIA GRANISKA SAUTCHUK;4342;LIDIA DO PV;APTO;DEFERIDO;43;PV;PARTIDO VERDE;CURITIBA;01/10/1962;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO ESTADUAL;N;SUPLENTE;DEFERIDO;660049.91;29700.0;29621.38;0,01%;419.0
160000619711;DEPUTADO FEDERAL;EVANDRO ROGERIO ROMAN;5533;EVANDRO ROMAN;APTO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;ERVAL GRANDE;03/03/1973;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DEPUTADO;S;SUPLENTE;DEFERIDO;1807654.9100000001;1748172.46;1700957.46;1,18%;67909.0
160000601668;DEPUTADO FEDERAL;ROBERTO FRANCISCHINI JUNIOR;3099;ROBERTO FRANCISCHINI;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;SÃO PAULO;01/06/1979;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;252225.43;17649.16;15040.35;0,11%;6360.0
160000621809;DEPUTADO FEDERAL;EVERTHON CRISTIAN PAIVA;6577;THON CRIS;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;CURITIBA;21/05/1977;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;;;0,01%;369.0
160000612860;DEPUTADO FEDERAL;KELLY BERENICE DA SILVA COSTA;4307;KELLY COSTA;APTO;DEFERIDO;43;PV;PARTIDO VERDE;LONDRINA;28/05/1984;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;SUPLENTE;DEFERIDO;6620.0;11500.0;11500.0;0,00%;123.0
160000612841;DEPUTADO FEDERAL;JOSE JUAREZ GRABAS;4315;JUAREZ GRABAS;APTO;DEFERIDO;43;PV;PARTIDO VERDE;MANOEL RIBAS;25/11/1974;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;1400.0;1400.0;0,01%;643.0
160000619599;DEPUTADO FEDERAL;AURORA ALEXANDRE LIU;1066;AURORA ALE;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;CURITIBA;05/08/1961;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;COMERCIANTE;N;SUPLENTE;DEFERIDO;3960.0;18130.99;17000.0;0,00%;225.0
160000629311;DEPUTADO FEDERAL;JOSE LUIZ CASTRO DOS SANTOS;2833;SERA;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;GRAMADO;07/05/1959;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SEPARADO(A) JUDICIALMENTE;PARDA;GARÇOM;N;NÃO ELEITO;PENDENTE DE JULGAMENTO;;400.0;;0,00%;178.0
160000609999;DEPUTADO FEDERAL;LUCIANO XAVIER DE AZEVEDO;5432;PROFESSOR AZEVEDO;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;ICARAÍMA;15/04/1980;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;N;NÃO ELEITO;DEFERIDO;610000.0;3734.25;3028.65;0,02%;1148.0
160000601663;DEPUTADO FEDERAL;IAN SARAIVA DE OLANDA BRAGA;3040;IAN SARAIVA;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;ARAGUAÍNA;15/06/1984;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;MÉDICO;N;NÃO ELEITO;DEFERIDO;235152.16999999998;11169.16;5905.46;0,04%;2046.0
160000623148;DEPUTADO FEDERAL;NATACIA REGINA FIDELIS MARINHO FERRAZ;4011;NATACIA MARINHO;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;SÃO PAULO;15/07/1988;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;6000.0;56300.0;49998.59;0,02%;938.0
160000623015;DEPUTADO FEDERAL;VICTÓRIA PEDRO CORRÊA;1390;VICTÓRIA;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;IVAIPORÃ;04/11/1995;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;SOCIÓLOGO;N;SUPLENTE;DEFERIDO;;30285.0;30285.0;0,08%;4639.0
160000619611;DEPUTADO FEDERAL;LESLIE CAMARGO CARVALHO;1000;LESLIE CAMARGO;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;PARANAGUÁ;13/01/1968;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;JORNALISTA E REDATOR;N;SUPLENTE;DEFERIDO;15000.0;34877.75;30000.0;0,04%;2307.0
160000626146;DEPUTADO FEDERAL;JOAO FRANCISCO SCHUVARTZ;1708;JOAO GAUCHO;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;VERANÓPOLIS;18/11/1948;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;;11198.29;9733.65;0,05%;2608.0
