id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
200000612912;DEPUTADO FEDERAL;RICARDO MENDONCA FERNANDES;1900;RICARDO MENDONÇA;APTO;DEFERIDO;19;PODE;PODEMOS;RECIFE;22/07/1978;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;;1000.0;1500.0;0,07%;1148.0
200000623093;DEPUTADO FEDERAL;VALDIVINO TEIXEIRA RIBEIRO;2810;DIVINO;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;NATAL;22/04/1960;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;ELETRICISTA E ASSEMELHADOS;N;NÃO ELEITO;DEFERIDO;;;;0,01%;234.0
200000611409;DEPUTADO FEDERAL;VANESSA PINTO BRASILEIRO LOPES;5544;DRA. VANESSA;INAPTO;RENÚNCIA;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;CAMPINA GRANDE;02/12/1982;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;MÉDICO;N;;;381468.67;13966.27;;;
200000629727;DEPUTADO FEDERAL;FRANCILUSO DE OLIVEIRA LIMA;2828;BRANCO;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;MONTE ALEGRE;12/11/1984;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;;;;0,04%;589.0
200000606739;DEPUTADO FEDERAL;NATALIA BASTOS BONAVIDES;1311;NATALIA BONAVIDES;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;NATAL;15/06/1988;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;ELEITO POR QP;DEFERIDO;163112.22;571522.1;423857.83;7,02%;112998.0
200000623094;DEPUTADO FEDERAL;WALKSON DA SILVA TORRES;2860;WALKSON SILVA;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;NATAL;08/05/1974;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;COMERCIANTE;N;NÃO ELEITO;DEFERIDO;;;;0,01%;217.0
200000601398;DEPUTADO FEDERAL;DANNIEL ALEXANDRE FERREIRA DE MORAIS;5050;DANNIEL MORAIS;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;NATAL;05/05/1982;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;N;NÃO ELEITO;DEFERIDO;;4546.4;200.0;0,10%;1682.0
200000612911;DEPUTADO FEDERAL;LEIDIMAR SILVA PEREIRA MURR;1919;DRA LEIDIMAR;APTO;DEFERIDO;19;PODE;PODEMOS;NATAL;19/12/1963;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;MÉDICO;N;SUPLENTE;DEFERIDO;600000.0;111000.0;110779.2;0,07%;1185.0
200000601393;DEPUTADO FEDERAL;ELMINORA RODRIGUES DA ROCHA;5022;MINORA ROCHA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;NATAL;29/05/1989;FEMININO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;NÃO ELEITO;DEFERIDO;;4056.3999999999996;213.9;0,03%;548.0
200000606717;DEPUTADO FEDERAL;FERNANDO WANDERLEY VARGAS DA SILVA;1333;MINEIRO;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;CURVELO;06/12/1956;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;DEPUTADO;N;SUPLENTE;DEFERIDO;303048.98;453006.85;415694.63;6,09%;98070.0
