id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
230000628612;DEPUTADO FEDERAL;JORGE LACERDA;5144;JORGE LACERDA;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;DOURADOS;22/06/1972;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;FISCAL;N;NÃO ELEITO;DEFERIDO;;15108.2;13482.5;0,08%;215.0
230000603365;DEPUTADO FEDERAL;WESLY MONTELES DE SOUSA;4000;WESLEY MONTELES;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;BOA VISTA;01/08/1978;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);N;NÃO ELEITO;DEFERIDO;;7079.0;;0,02%;54.0
230000606205;DEPUTADO FEDERAL;JOHNATHAN PEREIRA DE JESUS;1011;JHONATAN DE JESUS;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;BOA VISTA;03/09/1983;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;MÉDICO;S;ELEITO POR QP;DEFERIDO;1116792.52;945545.0;948603.45;4,96%;13429.0
230000614186;DEPUTADO FEDERAL;VALDENIRA FURTADO GUEDES;5052;VALDENIRA GUEDES;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;URUCURITUBA;11/01/1962;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;VIÚVO(A);PARDA;DONA DE CASA;N;NÃO ELEITO;DEFERIDO;;11705.34;;0,01%;24.0
230000603369;DEPUTADO FEDERAL;CICERO CARDOZO DE ALMEIDA FILHO;7033;PROFESSOR CICERO;INAPTO;RENÚNCIA;70;AVANTE;AVANTE;LAGO DA PEDRA;26/06/1976;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;PROFESSOR DE ENSINO MÉDIO;N;;;;;;;
230000614399;DEPUTADO FEDERAL;FRANCISCO EDMILSON DE ALBUQUERQUE;6513;EDMILSON ALBUQUERQUE;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;COREAÚ;07/01/1964;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL;N;SUPLENTE;DEFERIDO;485000.0;9600.67;;0,06%;155.0
230000614404;DEPUTADO FEDERAL;REGINALDO CONRADO PINHEIRO;1900;INSPETOR CONRADO;INAPTO;INDEFERIDO;19;PODE;PODEMOS;MANAUS;15/03/1972;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;SERVIDOR PÚBLICO FEDERAL;N;;;113468.98000000001;;;0,55%;1492.0
230000608388;DEPUTADO FEDERAL;FABIO ROGERIO VIEIRA DE OLIVEIRA;2255;FÁBIO VIEIRA;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;MANAUS;25/07/1978;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;OCUPANTE DE CARGO EM COMISSÃO;N;SUPLENTE;DEFERIDO;160000.0;51584.7;50000.0;0,06%;152.0
230000606198;DEPUTADO FEDERAL;ILAINE INÊS HENZ-DIAS;1703;ILANE HENZ;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;MISSAL;17/03/1976;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PRODUTOR AGROPECUÁRIO;N;SUPLENTE;DEFERIDO;424000.0;35877.64;30414.04;0,20%;547.0
230000605567;DEPUTADO FEDERAL;WALDNEY CASTRO DO ESPIRITO SANTO;5123;NEY;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;BELEM;14/08/1985;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ANALISTA DE SISTEMAS;N;NÃO ELEITO;DEFERIDO;15000.0;26381.0;10494.75;0,56%;1518.0
230000608391;DEPUTADO FEDERAL;MARIA DAS GRAÇAS SANTOS DIAS;2221;PROFESSORA GRAÇA;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;BOA VISTA;20/11/1963;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;PROFESSOR DE ENSINO SUPERIOR;N;SUPLENTE;DEFERIDO;44177.17;198610.0;179302.6;0,24%;638.0
230000627693;DEPUTADO FEDERAL;ANA LUIZA CUNHA MARINHO;3101;ANA LUIZA;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;FILADELFIA;10/07/1975;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;;2942.8599999999997;;0,00%;5.0
230000629439;DEPUTADO FEDERAL;ANA KATIUCIA RUAS GONÇALVES ;5186;ANA KATIUCIA ;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;BOA VISTA;08/08/1993;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;DONA DE CASA;N;NÃO ELEITO;DEFERIDO;;6650.0;;0,03%;88.0
230000606197;DEPUTADO FEDERAL;LUCIANO PEREIRA DIAS;1707;SARGENTO LUCIANO DIAS;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;BOA VISTA;20/11/1976;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;POLICIAL MILITAR;N;SUPLENTE;DEFERIDO;25000.0;4000.0;;0,22%;603.0
230000614405;DEPUTADO FEDERAL;JOSY KEILA BERNARDES DE CARVALHO;1999;DR. JOSY CARVALHO;INAPTO;INDEFERIDO;19;PODE;PODEMOS;CACHOEIRA ALTA;08/07/1972;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ADVOGADO;N;;;;;;;
230000627690;DEPUTADO FEDERAL;REGINALDO CONRADO PINHEIRO;1900;INSPETOR CONRADO;APTO;DEFERIDO;19;PODE;PODEMOS;MANAUS;15/03/1972;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;OUTROS;N;NÃO ELEITO;DEFERIDO;113486.98;6509.34;13.2;0,55%;1492.0
230000602395;DEPUTADO FEDERAL;OQUIMAR FRAZÃO DE FREITAS JÚNIOR;1530;TEN CORONEL FRAZÃO;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;TEFÉ;25/02/1969;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;POLICIAL MILITAR;N;SUPLENTE;DEFERIDO;301000.0;200000.0;200000.0;1,46%;3952.0
230000614402;DEPUTADO FEDERAL;WESLEY CARLOS THOMÉ;6565;DR. WESLEY THOMÉ;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;BOA VISTA;15/06/1967;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;MÉDICO;N;SUPLENTE;DEFERIDO;1015000.0;99224.0;65000.0;1,54%;4178.0
