id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
210000609476;DEPUTADO FEDERAL;MARLI ALVES DOS SANTOS TEIXEIRA;6511;MARLI TEIXEIRA EDUCADORA;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;OSÓRIO;20/06/1960;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;42883.0;2543.5;992.68;0,01%;458.0
210000616445;DEPUTADO FEDERAL;ALEXSANDRO DA SILVA BARBOSA;5512;ALEX BARBOSA;APTO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PORTO ALEGRE;01/03/1977;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;SUPLENTE;DEFERIDO;;11778.47;10001.2;0,01%;532.0
210000600039;DEPUTADO FEDERAL;CELMIS ALESSANDRO VIEIRA DE OLIVEIRA;5004;CELMIS ALESSANDRO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;SANTA MARIA;12/02/1972;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;BANCÁRIO E ECONOMIÁRIO;N;SUPLENTE;DEFERIDO;70248.56;548.4100000000001;458.41;0,00%;233.0
210000600977;DEPUTADO FEDERAL;CHRISTIAN DE LIMA RICARDO;5151;CHRISTIAN RICARDO;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;PORTO ALEGRE;25/11/1976;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;82000.0;2212.4;;0,03%;1474.0
210000604663;DEPUTADO FEDERAL;FLAVIO PERCIO ZACHER;1234;FLAVIO ZACHER;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PORTO ALEGRE;08/12/1972;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;833576.2;131720.0;239008.44;0,20%;11646.0
210000604638;DEPUTADO FEDERAL;SAMIRA PEREIRA DA COSTA;1202;SAMIRA PEREIRA;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PELOTAS;30/08/1985;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;;71220.0;70000.0;0,06%;3253.0
210000603887;DEPUTADO FEDERAL;MILTON SUPTITZ;7077;MILTON SUPTITZ;APTO;DEFERIDO;70;AVANTE;AVANTE;LAJEADO;02/12/1964;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);BRANCA;MILITAR REFORMADO;N;NÃO ELEITO;DEFERIDO;;;;0,01%;303.0
210000603872;DEPUTADO FEDERAL;HANNE CAROLINE MEDEIROS BOUCHET;5455;HANNE BOUCHET;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;SÃO BORJA;10/10/1991;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;DONA DE CASA;N;NÃO ELEITO;DEFERIDO;4000.0;659.96;;0,00%;115.0
210000627840;DEPUTADO FEDERAL;DANIELLE KARINE LIMA DA SILVA;3565;DANIELLE LIMA;APTO;DEFERIDO;35;PMB;PARTIDO DA MULHER BRASILEIRA;PORTO ALEGRE;03/04/1981;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;;2700.0;;0,00%;83.0
210000604662;DEPUTADO FEDERAL;NADIA SALETE TOSSIN;3510;NÁDIA;APTO;DEFERIDO;35;PMB;PARTIDO DA MULHER BRASILEIRA;MIRAGUAI;10/07/1969;FEMININO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRANCA;COZINHEIRO;N;SUPLENTE;DEFERIDO;82000.0;4101.25;;0,01%;489.0
210000610906;DEPUTADO FEDERAL;FABIANE DEL PINO VARGAS;2355;FABI VARGAS;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;PORTO ALEGRE;16/04/1977;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;115000.0;21763.86;10563.7;0,01%;561.0
210000611378;DEPUTADO FEDERAL;ALVACIR AIMI;1311;ALVACIR AIMI AGRICULTOR;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;ENGENHO VELHO;25/05/1975;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRANCA;AGRICULTOR;N;SUPLENTE;DEFERIDO;525500.0;16800.0;15000.0;0,06%;3215.0
210000610900;DEPUTADO FEDERAL;VANDERLEI PINTO PEREIRA;3134;VANDERLEI PEREIRA;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PORTO ALEGRE;15/04/1962;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;151500.0;7665.71;;0,01%;770.0
210000609477;DEPUTADO FEDERAL;PAULETE TEREZINHA SOUTO;6577;PROFESSORA PAULETE;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;PORTO ALEGRE;02/03/1958;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;SERVIDOR PÚBLICO CIVIL APOSENTADO;N;NÃO ELEITO;DEFERIDO;;65717.5;52765.76;0,11%;6156.0
210000602590;DEPUTADO FEDERAL;CLARISSA ALVES DE ABREU LIMA SIMÕES PIRES;3055;CLARISSA SIMÕES PIRES;APTO;DEFERIDO;30;NOVO;PARTIDO NOVO;SANTANA DO LIVRAMENTO;05/10/1967;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;27000.11;3539.16;2390.0;0,03%;1910.0
210000604833;DEPUTADO FEDERAL;LUIS ANTONIO FRANCISCATTO COVATTI;1111;COVATTI FILHO;APTO;DEFERIDO;11;PP;PROGRESSISTAS;FREDERICO WESTPHALEN;25/07/1987;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;956901.59;2400907.95;2380084.95;1,75%;102063.0
