id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
260000624586;DEPUTADO FEDERAL;DANIELLI HEANS SANTOS NASCIMENTO;1755;DANIELLI HEANS;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;ARACAJU;18/02/1994;FEMININO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);PARDA;TELEFONISTA;N;NÃO ELEITO;INDEFERIDO COM RECURSO;;;;0,13%;1294.0
260000621979;DEPUTADO FEDERAL;ALCILÂNIA CASTRO FELIX;2210;LÂNIA CASTRO;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;ARACAJU;12/04/1990;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;SECRETÁRIO E DATILÓGRAFO;N;SUPLENTE;DEFERIDO;;2000.0;;0,02%;172.0
260000627420;DEPUTADO FEDERAL;JOSÉ ANTONIO MARQUES DE OLIVEIRA;2112;PROFESSOR MARQUES;APTO;DEFERIDO;21;PCB;PARTIDO COMUNISTA BRASILEIRO;ARACAJU;10/01/1966;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;PROFESSOR DE ENSINO FUNDAMENTAL;N;NÃO ELEITO;DEFERIDO;;;;0,03%;250.0
260000616193;DEPUTADO FEDERAL;JOSEFA MARIA DE JESUS DOS SANTOS;7092;JO VALENCA;APTO;DEFERIDO;70;AVANTE;AVANTE;CARIRA;09/05/1966;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;COMERCIÁRIO;N;NÃO ELEITO;DEFERIDO;;4055.0;403.2;0,02%;178.0
260000623593;DEPUTADO FEDERAL;FABIO DE ALMEIDA REIS;1515;FABIO REIS;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;ARACAJU;15/04/1977;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;685439.08;1505965.96;1435755.19;6,50%;64879.0
260000623620;DEPUTADO FEDERAL;ANGELA MARIA DE MELO;1390;PROFESSORA ÂNGELA;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;CANHOBA;01/07/1956;FEMININO;SUPERIOR COMPLETO;SEPARADO(A) JUDICIALMENTE;PARDA;OUTROS;N;SUPLENTE;DEFERIDO;109323.73999999999;74060.13;73059.7;1,35%;13528.0
260000628495;DEPUTADO FEDERAL;MARLEIDE DOS SANTOS;1000;MARLEIDE DE CHAMEGO BOM;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;MONTE ALEGRE DE SERGIPE;22/01/1975;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;DONA DE CASA;N;SUPLENTE;DEFERIDO;60000.0;39425.71;16500.0;0,11%;1129.0
260000629232;DEPUTADO FEDERAL;CLAUDIA RODRIGUES DA SILVA;4325;CLAUDIA RODRIGUES;APTO;DEFERIDO;43;PV;PARTIDO VERDE;CORNÉLIO PROCÓPIO;17/02/1977;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;AGENTE ADMINISTRATIVO;N;NÃO ELEITO;DEFERIDO;;20666.5;17500.0;0,03%;284.0
260000623577;DEPUTADO FEDERAL;MARCIO SANTANA DORIA;6500;MARCIO DORIA;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;PROPRIA;13/05/1967;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;ADVOGADO;N;SUPLENTE;DEFERIDO;1309064.67;88028.75;44952.02;0,62%;6150.0
260000621988;DEPUTADO FEDERAL;MANOEL MESSIAS SUKITA SANTOS;3636;SUKITA;INAPTO;INDEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;CAPELA;01/04/1975;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;EMPRESÁRIO;N;NÃO ELEITO;INDEFERIDO COM RECURSO;55122.38;75360.0;329891.72;0,00%;0.0
