id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
250000629683;DEPUTADO FEDERAL;JARKSON VILAR DA SILVA;9000;JACKSON VILLAR;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;CATOLE DA ROCHA;22/07/1979;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;OUTROS;N;NÃO ELEITO;PENDENTE DE JULGAMENTO;;;;0,00%;0.0
250000613284;DEPUTADO FEDERAL;ORLANDO APARECIDO TOMASELLA;1799;CORONEL TOMASELLA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;RIO CLARO;01/09/1949;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;SUPLENTE;DEFERIDO;2204544.39;29000.0;29000.0;0,08%;16422.0
250000600520;DEPUTADO FEDERAL;ZENILDA LUCIANA MATOS FERREIRA DA SILVA;9015;LUCIANA MATOS;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;SAO PAULO;30/06/1964;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ENFERMEIRO;N;NÃO ELEITO;DEFERIDO;;;;0,00%;127.0
250000603986;DEPUTADO FEDERAL;EDUARDO RODRIGUES XAVIER;1545;EDUARDO XAVIER;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;ILHA SOLTEIRA;08/01/1971;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;VEREADOR;N;SUPLENTE;DEFERIDO;269331.26;192666.66;184230.21;0,04%;8042.0
250000606960;DEPUTADO FEDERAL;PAULINA ROSA DE SOUZA JACINTO;7024;GRETE COVER;APTO;DEFERIDO;70;AVANTE;AVANTE;SÃO PAULO;15/05/1959;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;;2707.6299999999997;26.4;0,00%;123.0
250000618531;DEPUTADO FEDERAL;CICERO SANTANA DA SILVA;4413;CÍCERO PERUEIRO;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;MACEIO;13/02/1962;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;MOTORISTA PARTICULAR;N;NÃO ELEITO;DEFERIDO;;;;0,00%;286.0
250000618557;DEPUTADO FEDERAL;RENATA APARECIDA DE LIMA;4431;RENATA LIMA;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;GUARULHOS;30/06/1982;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;NÃO ELEITO;DEFERIDO;84000.0;954.0;;0,00%;229.0
250000606242;DEPUTADO FEDERAL;LEANDRO MOREIRA;1019;LEANDRO MOREIRA LÊ;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;BIRIGUI;14/09/1979;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;COMERCIANTE;N;SUPLENTE;DEFERIDO;8583.54;34205.0;24995.95;0,04%;7484.0
250000602871;DEPUTADO FEDERAL;CLOVES ALVES DE SOUZA;5121;DR CLOVES;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;SÃO PAULO;20/04/1960;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;ADVOGADO;N;NÃO ELEITO;DEFERIDO;3277664.41;64470.0;62749.3;0,01%;1129.0
250000601653;DEPUTADO FEDERAL;VIRGINIA MARIA BALDAN FERREIRA;5015;VIRGINIA BALDAN;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;SÃO PAULO;06/05/1961;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO FUNDAMENTAL;N;SUPLENTE;DEFERIDO;135500.0;6453.27;3756.5;0,01%;1185.0
