id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
270000626124;DEPUTADO FEDERAL;JOSE ARIMATEIA DE MACEDO;1333;DR. ARIMATEIA;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;AURORA;24/11/1961;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;MÉDICO;N;SUPLENTE;DEFERIDO;320000.0;32144.0;25151.96;0,41%;2932.0
270000625448;DEPUTADO FEDERAL;ELENILSON BEZERRA RODRIGUES;1711;ELENILSON B. RODRIGUES;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;MIRACEMA DO TOCANTINS;30/04/1982;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;OUTROS;N;NÃO ELEITO;DEFERIDO;;1750.0;1750.0;0,32%;2314.0
270000626125;DEPUTADO FEDERAL;JOSE JULIO FERNANDES;1344;JULIO CARTEIRO;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;SITIO DOS MOREIRAS;20/10/1967;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;SERVIDOR PÚBLICO FEDERAL;N;SUPLENTE;DEFERIDO;;34579.8;17392.39;0,22%;1602.0
270000625435;DEPUTADO FEDERAL;NILCE GAMA DE SOUZA;1747;NILCE GAMA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;CONCEIÇÃO DO ARAGUAIA;17/12/1974;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;GERENTE;N;NÃO ELEITO;DEFERIDO;241407.0;1800.0;1500.0;0,10%;748.0
270000610937;DEPUTADO FEDERAL;MARCOS ANTONIO FEITOZA DA COSTA;4510;MARCOS DA ETICAM;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;ARAGUATINS;14/10/1971;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;CONTADOR;N;SUPLENTE;DEFERIDO;2320000.0;78657.95;49935.56;0,26%;1842.0
270000627146;DEPUTADO FEDERAL;REIJANE GOMES DE SOUZA;2820;REIJANE GOMES;INAPTO;INDEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;NATIVIDADE;26/11/1975;FEMININO;SUPERIOR COMPLETO;CASADO(A);PRETA;SERVIDOR PÚBLICO MUNICIPAL;N;;;;;;;
270000626120;DEPUTADO FEDERAL;ADÃO FRANCISCO DE OLIVEIRA;1310;PROFESSOR ADÃO FRANCISCO;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;GOIÂNIA;10/11/1973;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;PROFESSOR DE ENSINO SUPERIOR;N;SUPLENTE;DEFERIDO;600000.0;39697.69;25642.75;0,51%;3635.0
270000618832;DEPUTADO FEDERAL;BRUNO OTAVIO CARRIJO SILVA TOMAZINI AMORIM;5151;BRUNO AMORIM;INAPTO;RENÚNCIA;51;PATRIOTA;PATRIOTA;UBERLANDIA;10/10/1985;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;OUTROS;N;;;1793105.1;4000.0;;;
270000625472;DEPUTADO FEDERAL;REGEIS GONZAGA DE OLIVEIRA;4488;REGEIS GONZAGA;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;MUTUNÓPOLOS;16/06/1975;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PARDA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;NÃO ELEITO;DEFERIDO;135000.0;1400.0;1400.0;0,06%;435.0
270000627398;DEPUTADO FEDERAL;EMMANOEL MARLON PEREIRA;2300;EMMANOEL MARLON;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;GOIÂNIA;25/11/1984;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;OCUPANTE DE CARGO EM COMISSÃO;N;NÃO ELEITO;DEFERIDO;400000.0;297353.63;291995.64;0,47%;3336.0
